"date","index","area"
2007-06-30,1.206,"Otago"
2007-06-30,1.167,"Southland"
2007-06-30,1.187,"Taranaki"
2007-06-30,1.173,"Tasman"
2007-06-30,1.17,"Waikato"
2007-06-30,1.172,"Wellington"
2007-06-30,1.24,"West Coast"
2007-09-30,1.203,"New Zealand"
2007-09-30,1.193,"Auckland"
2007-09-30,1.207,"Bay of Plenty"
2007-09-30,1.234,"Canterbury"
2007-09-30,1.221,"Gisborne"
2007-09-30,1.201,"Hawke's Bay"
2007-09-30,1.18,"Manawatu-Whanganui"
2007-09-30,1.238,"Marlborough"
2007-09-30,1.225,"Nelson"
2007-09-30,1.221,"Northland"
2007-09-30,1.223,"Otago"
2007-09-30,1.183,"Southland"
2007-09-30,1.207,"Taranaki"
2007-09-30,1.191,"Tasman"
2007-09-30,1.181,"Waikato"
2007-09-30,1.185,"Wellington"
2007-09-30,1.271,"West Coast"
2007-12-31,1.215,"New Zealand"
2007-12-31,1.205,"Auckland"
2007-12-31,1.219,"Bay of Plenty"
2007-12-31,1.253,"Canterbury"
2007-12-31,1.229,"Gisborne"
2007-12-31,1.21,"Hawke's Bay"
2007-12-31,1.196,"Manawatu-Whanganui"
2007-12-31,1.254,"Marlborough"
2007-12-31,1.236,"Nelson"
2007-12-31,1.228,"Northland"
2007-12-31,1.236,"Otago"
2007-12-31,1.195,"Southland"
2007-12-31,1.224,"Taranaki"
2007-12-31,1.204,"Tasman"
2007-12-31,1.195,"Waikato"
2007-12-31,1.197,"Wellington"
2007-12-31,1.294,"West Coast"
2008-03-31,1.229,"New Zealand"
2008-03-31,1.218,"Auckland"
2008-03-31,1.233,"Bay of Plenty"
2008-03-31,1.272,"Canterbury"
2008-03-31,1.24,"Gisborne"
2008-03-31,1.221,"Hawke's Bay"
2008-03-31,1.211,"Manawatu-Whanganui"
2008-03-31,1.275,"Marlborough"
2008-03-31,1.25,"Nelson"
2008-03-31,1.242,"Northland"
2008-03-31,1.253,"Otago"
2008-03-31,1.212,"Southland"
2008-03-31,1.241,"Taranaki"
2008-03-31,1.224,"Tasman"
2008-03-31,1.204,"Waikato"
2008-03-31,1.211,"Wellington"
2008-03-31,1.325,"West Coast"
2008-06-30,1.244,"New Zealand"
2008-06-30,1.23,"Auckland"
2008-06-30,1.246,"Bay of Plenty"
2008-06-30,1.291,"Canterbury"
2008-06-30,1.251,"Gisborne"
2008-06-30,1.234,"Hawke's Bay"
2008-06-30,1.227,"Manawatu-Whanganui"
2008-06-30,1.293,"Marlborough"
2008-06-30,1.268,"Nelson"
2008-06-30,1.254,"Northland"
2008-06-30,1.272,"Otago"
2008-06-30,1.232,"Southland"
2008-06-30,1.257,"Taranaki"
2008-06-30,1.242,"Tasman"
2008-06-30,1.214,"Waikato"
2008-06-30,1.228,"Wellington"
2008-06-30,1.349,"West Coast"
2008-09-30,1.259,"New Zealand"
2008-09-30,1.244,"Auckland"
2008-09-30,1.256,"Bay of Plenty"
2008-09-30,1.31,"Canterbury"
2008-09-30,1.264,"Gisborne"
2008-09-30,1.253,"Hawke's Bay"
2008-09-30,1.245,"Manawatu-Whanganui"
2008-09-30,1.302,"Marlborough"
2008-09-30,1.284,"Nelson"
2008-09-30,1.27,"Northland"
2008-09-30,1.287,"Otago"
2008-09-30,1.249,"Southland"
2008-09-30,1.269,"Taranaki"
2008-09-30,1.257,"Tasman"
2008-09-30,1.228,"Waikato"
2008-09-30,1.246,"Wellington"
2008-09-30,1.371,"West Coast"
2008-12-31,1.274,"New Zealand"
2008-12-31,1.256,"Auckland"
2008-12-31,1.268,"Bay of Plenty"
2008-12-31,1.329,"Canterbury"
2008-12-31,1.286,"Gisborne"
2008-12-31,1.269,"Hawke's Bay"
2008-12-31,1.266,"Manawatu-Whanganui"
2008-12-31,1.314,"Marlborough"
2008-12-31,1.301,"Nelson"
2008-12-31,1.284,"Northland"
2008-12-31,1.305,"Otago"
2008-12-31,1.274,"Southland"
2008-12-31,1.286,"Taranaki"
2008-12-31,1.275,"Tasman"
2008-12-31,1.242,"Waikato"
2008-12-31,1.264,"Wellington"
2008-12-31,1.402,"West Coast"
2009-03-31,1.281,"New Zealand"
2009-03-31,1.263,"Auckland"
2009-03-31,1.269,"Bay of Plenty"
2009-03-31,1.337,"Canterbury"
2009-03-31,1.291,"Gisborne"
2009-03-31,1.272,"Hawke's Bay"
2009-03-31,1.273,"Manawatu-Whanganui"
2009-03-31,1.316,"Marlborough"
2009-03-31,1.307,"Nelson"
2009-03-31,1.287,"Northland"
2009-03-31,1.311,"Otago"
2009-03-31,1.281,"Southland"
2009-03-31,1.293,"Taranaki"
2009-03-31,1.282,"Tasman"
2009-03-31,1.249,"Waikato"
2009-03-31,1.271,"Wellington"
2009-03-31,1.418,"West Coast"
2009-06-30,1.286,"New Zealand"
2009-06-30,1.267,"Auckland"
2009-06-30,1.271,"Bay of Plenty"
2009-06-30,1.345,"Canterbury"
2009-06-30,1.295,"Gisborne"
2009-06-30,1.275,"Hawke's Bay"
2009-06-30,1.277,"Manawatu-Whanganui"
2009-06-30,1.317,"Marlborough"
2009-06-30,1.307,"Nelson"
2009-06-30,1.289,"Northland"
2009-06-30,1.319,"Otago"
2009-06-30,1.285,"Southland"
2009-06-30,1.303,"Taranaki"
2009-06-30,1.283,"Tasman"
2009-06-30,1.257,"Waikato"
2009-06-30,1.279,"Wellington"
2009-06-30,1.437,"West Coast"
2009-09-30,1.295,"New Zealand"
2009-09-30,1.273,"Auckland"
2009-09-30,1.277,"Bay of Plenty"
2009-09-30,1.355,"Canterbury"
2009-09-30,1.308,"Gisborne"
2009-09-30,1.276,"Hawke's Bay"
2009-09-30,1.289,"Manawatu-Whanganui"
2009-09-30,1.323,"Marlborough"
2009-09-30,1.311,"Nelson"
2009-09-30,1.294,"Northland"
2009-09-30,1.328,"Otago"
2009-09-30,1.294,"Southland"
2009-09-30,1.312,"Taranaki"
2009-09-30,1.29,"Tasman"
2009-09-30,1.268,"Waikato"
2009-09-30,1.292,"Wellington"
2009-09-30,1.455,"West Coast"
2009-12-31,1.289,"New Zealand"
2009-12-31,1.269,"Auckland"
2009-12-31,1.271,"Bay of Plenty"
2009-12-31,1.351,"Canterbury"
2009-12-31,1.3,"Gisborne"
2009-12-31,1.268,"Hawke's Bay"
2009-12-31,1.284,"Manawatu-Whanganui"
2009-12-31,1.324,"Marlborough"
2009-12-31,1.306,"Nelson"
2009-12-31,1.285,"Northland"
2009-12-31,1.322,"Otago"
2009-12-31,1.286,"Southland"
2009-12-31,1.307,"Taranaki"
2009-12-31,1.286,"Tasman"
2009-12-31,1.26,"Waikato"
2009-12-31,1.285,"Wellington"
2009-12-31,1.452,"West Coast"
2010-03-31,1.298,"New Zealand"
2010-03-31,1.277,"Auckland"
2010-03-31,1.279,"Bay of Plenty"
2010-03-31,1.363,"Canterbury"
2010-03-31,1.31,"Gisborne"
2010-03-31,1.274,"Hawke's Bay"
2010-03-31,1.291,"Manawatu-Whanganui"
2010-03-31,1.332,"Marlborough"
2010-03-31,1.314,"Nelson"
2010-03-31,1.291,"Northland"
2010-03-31,1.332,"Otago"
2010-03-31,1.295,"Southland"
2010-03-31,1.319,"Taranaki"
2010-03-31,1.293,"Tasman"
2010-03-31,1.27,"Waikato"
2010-03-31,1.296,"Wellington"
2010-03-31,1.469,"West Coast"
2010-06-30,1.306,"New Zealand"
2010-06-30,1.287,"Auckland"
2010-06-30,1.283,"Bay of Plenty"
2010-06-30,1.374,"Canterbury"
2010-06-30,1.312,"Gisborne"
2010-06-30,1.28,"Hawke's Bay"
2010-06-30,1.303,"Manawatu-Whanganui"
2010-06-30,1.338,"Marlborough"
2010-06-30,1.319,"Nelson"
2010-06-30,1.297,"Northland"
2010-06-30,1.334,"Otago"
2010-06-30,1.304,"Southland"
2010-06-30,1.332,"Taranaki"
2010-06-30,1.299,"Tasman"
2010-06-30,1.275,"Waikato"
2010-06-30,1.303,"Wellington"
2010-06-30,1.488,"West Coast"
2010-09-30,1.309,"New Zealand"
2010-09-30,1.292,"Auckland"
2010-09-30,1.287,"Bay of Plenty"
2010-09-30,1.379,"Canterbury"
2010-09-30,1.311,"Gisborne"
2010-09-30,1.282,"Hawke's Bay"
2010-09-30,1.302,"Manawatu-Whanganui"
2010-09-30,1.342,"Marlborough"
2010-09-30,1.323,"Nelson"
2010-09-30,1.294,"Northland"
2010-09-30,1.334,"Otago"
2010-09-30,1.312,"Southland"
2010-09-30,1.339,"Taranaki"
2010-09-30,1.302,"Tasman"
2010-09-30,1.277,"Waikato"
2010-09-30,1.309,"Wellington"
2010-09-30,1.503,"West Coast"
2010-12-31,1.321,"New Zealand"
2010-12-31,1.301,"Auckland"
2010-12-31,1.295,"Bay of Plenty"
2010-12-31,1.395,"Canterbury"
2010-12-31,1.318,"Gisborne"
2010-12-31,1.296,"Hawke's Bay"
2010-12-31,1.31,"Manawatu-Whanganui"
2010-12-31,1.345,"Marlborough"
2010-12-31,1.334,"Nelson"
2010-12-31,1.301,"Northland"
2010-12-31,1.341,"Otago"
2010-12-31,1.326,"Southland"
2010-12-31,1.354,"Taranaki"
2010-12-31,1.314,"Tasman"
2010-12-31,1.288,"Waikato"
2010-12-31,1.321,"Wellington"
2010-12-31,1.529,"West Coast"
2011-03-31,1.333,"New Zealand"
2011-03-31,1.313,"Auckland"
2011-03-31,1.308,"Bay of Plenty"
2011-03-31,1.414,"Canterbury"
2011-03-31,1.327,"Gisborne"
2011-03-31,1.309,"Hawke's Bay"
2011-03-31,1.319,"Manawatu-Whanganui"
2011-03-31,1.353,"Marlborough"
2011-03-31,1.346,"Nelson"
2011-03-31,1.309,"Northland"
2011-03-31,1.35,"Otago"
2011-03-31,1.336,"Southland"
2011-03-31,1.364,"Taranaki"
2011-03-31,1.327,"Tasman"
2011-03-31,1.3,"Waikato"
2011-03-31,1.334,"Wellington"
2011-03-31,1.551,"West Coast"
2011-06-30,1.344,"New Zealand"
2011-06-30,1.32,"Auckland"
2011-06-30,1.318,"Bay of Plenty"
2011-06-30,1.435,"Canterbury"
2011-06-30,1.338,"Gisborne"
2011-06-30,1.321,"Hawke's Bay"
2011-06-30,1.324,"Manawatu-Whanganui"
2011-06-30,1.358,"Marlborough"
2011-06-30,1.352,"Nelson"
2011-06-30,1.314,"Northland"
2011-06-30,1.363,"Otago"
2011-06-30,1.348,"Southland"
2011-06-30,1.369,"Taranaki"
2011-06-30,1.336,"Tasman"
2011-06-30,1.31,"Waikato"
2011-06-30,1.343,"Wellington"
2011-06-30,1.563,"West Coast"
2011-09-30,1.352,"New Zealand"
2011-09-30,1.325,"Auckland"
2011-09-30,1.323,"Bay of Plenty"
2011-09-30,1.454,"Canterbury"
2011-09-30,1.342,"Gisborne"
2011-09-30,1.327,"Hawke's Bay"
2011-09-30,1.325,"Manawatu-Whanganui"
2011-09-30,1.362,"Marlborough"
2011-09-30,1.353,"Nelson"
2011-09-30,1.32,"Northland"
2011-09-30,1.372,"Otago"
2011-09-30,1.355,"Southland"
2011-09-30,1.376,"Taranaki"
2011-09-30,1.346,"Tasman"
2011-09-30,1.319,"Waikato"
2011-09-30,1.347,"Wellington"
2011-09-30,1.581,"West Coast"
2011-12-31,1.36,"New Zealand"
2011-12-31,1.331,"Auckland"
2011-12-31,1.33,"Bay of Plenty"
2011-12-31,1.472,"Canterbury"
2011-12-31,1.351,"Gisborne"
2011-12-31,1.332,"Hawke's Bay"
2011-12-31,1.329,"Manawatu-Whanganui"
2011-12-31,1.368,"Marlborough"
2011-12-31,1.352,"Nelson"
2011-12-31,1.324,"Northland"
2011-12-31,1.381,"Otago"
2011-12-31,1.367,"Southland"
2011-12-31,1.382,"Taranaki"
2011-12-31,1.349,"Tasman"
2011-12-31,1.325,"Waikato"
2011-12-31,1.356,"Wellington"
2011-12-31,1.601,"West Coast"
2012-03-31,1.369,"New Zealand"
2012-03-31,1.336,"Auckland"
2012-03-31,1.336,"Bay of Plenty"
2012-03-31,1.491,"Canterbury"
2012-03-31,1.356,"Gisborne"
2012-03-31,1.335,"Hawke's Bay"
2012-03-31,1.336,"Manawatu-Whanganui"
2012-03-31,1.373,"Marlborough"
2012-03-31,1.362,"Nelson"
