"area","unit","inc_type","tenure","vintage","inc_freq","level","series","date","value","source"
"Kapiti Coast District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,43032.8638380388,"LEED interpolated"
"Porirua City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,62583.2031507251,"LEED interpolated"
"Upper Hutt City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,52479.3219703352,"LEED interpolated"
"Lower Hutt City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,55102.5514679685,"LEED interpolated"
"Wellington City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,73789.8585693367,"LEED interpolated"
"Masterton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,39017.1962917166,"LEED interpolated"
"Carterton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,42452.2307153306,"LEED interpolated"
"South Wairarapa District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,42875.2002411063,"LEED interpolated"
"Tasman District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,42533.2820073214,"LEED interpolated"
"Nelson City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,43873.7826559766,"LEED interpolated"
"Marlborough District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,44922.2106378792,"LEED interpolated"
"Kaikoura District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,40580.1731511408,"LEED interpolated"
"Buller District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,37512.2623902639,"LEED interpolated"
"Grey District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,41547.6154962864,"LEED interpolated"
"Westland District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,41506.3325821447,"LEED interpolated"
"Hurunui District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,43376.321892224,"LEED interpolated"
"Waimakariri District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,51442.8937440972,"LEED interpolated"
"Christchurch City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,48989.2158614341,"LEED interpolated"
"Selwyn District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,64077.4124146538,"LEED interpolated"
"Ashburton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,48013.805703183,"LEED interpolated"
"Timaru District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,41701.8195878661,"LEED interpolated"
"Mackenzie District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,42493.951928335,"LEED interpolated"
"Waimate District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,38002.7372136585,"LEED interpolated"
"Waitaki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,37143.647761077,"LEED interpolated"
"Central Otago District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,43695.3668802248,"LEED interpolated"
"Queenstown-Lakes District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,62432.7697621377,"LEED interpolated"
"Dunedin City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,43143.5526196614,"LEED interpolated"
"Clutha District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,42257.3100402576,"LEED interpolated"
"Southland District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,49007.1302389305,"LEED interpolated"
"Gore District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,42824.901622819,"LEED interpolated"
"Invercargill City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-05-31,42256.3723925628,"LEED interpolated"
"New Zealand","Household","Disposable","All",2022-06-13,"annual","New Zealand","Median annual household disposable income for all",2009-06-30,50690.7900176768,"LEED interpolated"
"Far North District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,35357.6508643483,"LEED interpolated"
"Whangarei District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,42923.5876426051,"LEED interpolated"
"Kaipara District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,35444.5015159791,"LEED interpolated"
"Thames-Coromandel District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,35048.5394565967,"LEED interpolated"
"Hauraki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,35245.7663003687,"LEED interpolated"
"Waikato District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,56561.8677754281,"LEED interpolated"
"Matamata-Piako District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,47964.2002980514,"LEED interpolated"
"Hamilton City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,51409.3912560993,"LEED interpolated"
"Waipa District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,53317.7379852809,"LEED interpolated"
"Otorohanga District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,48871.1803534373,"LEED interpolated"
"South Waikato District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,39448.9967193602,"LEED interpolated"
"Waitomo District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,42415.9646966957,"LEED interpolated"
"Taupo District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,46837.9867831183,"LEED interpolated"
"Western Bay of Plenty District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,46357.8120413302,"LEED interpolated"
"Tauranga City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,44338.7218189879,"LEED interpolated"
"Rotorua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,44913.5341257065,"LEED interpolated"
"Whakatane District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,44513.7443764379,"LEED interpolated"
"Kawerau District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,31940.3809035891,"LEED interpolated"
"Opotiki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,32221.1320998796,"LEED interpolated"
"Gisborne District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,40751.6761801383,"LEED interpolated"
"Wairoa District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,36330.2461603589,"LEED interpolated"
"Hastings District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,44749.4362951356,"LEED interpolated"
"Napier City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,42137.3354508477,"LEED interpolated"
"Central Hawke's Bay District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,43062.015014612,"LEED interpolated"
"New Plymouth District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,45925.4144271074,"LEED interpolated"
"Stratford District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,43305.2397524313,"LEED interpolated"
"South Taranaki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,43745.832998412,"LEED interpolated"
"Ruapehu District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,39317.8046992992,"LEED interpolated"
"Whanganui District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,35780.1338036864,"LEED interpolated"
"Rangitikei District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,41324.6269145637,"LEED interpolated"
"Manawatu District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,45971.960481323,"LEED interpolated"
"Palmerston North City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,47574.0417660825,"LEED interpolated"
"Tararua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,37945.6315321456,"LEED interpolated"
"Horowhenua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,31665.0854942332,"LEED interpolated"
"Kapiti Coast District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,43111.9940039888,"LEED interpolated"
"Porirua City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,62728.5288824592,"LEED interpolated"
"Upper Hutt City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,52537.6333534252,"LEED interpolated"
"Lower Hutt City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,55255.8614904901,"LEED interpolated"
"Wellington City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,73939.612607339,"LEED interpolated"
"Masterton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,39054.2690488207,"LEED interpolated"
"Carterton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,42387.5047145105,"LEED interpolated"
"South Wairarapa District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,42997.2069876863,"LEED interpolated"
"Tasman District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,42549.537566267,"LEED interpolated"
"Nelson City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,43880.389707084,"LEED interpolated"
"Marlborough District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,44938.2158995012,"LEED interpolated"
"Kaikoura District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,40582.3671127539,"LEED interpolated"
"Buller District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,37743.552863509,"LEED interpolated"
"Grey District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,41724.3240112285,"LEED interpolated"
"Westland District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,41601.287679392,"LEED interpolated"
"Hurunui District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,43409.8009435609,"LEED interpolated"
"Waimakariri District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,51561.9183008647,"LEED interpolated"
"Christchurch City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,49085.429201037,"LEED interpolated"
"Selwyn District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,64324.0705179797,"LEED interpolated"
"Ashburton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,48058.3193583651,"LEED interpolated"
"Timaru District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,41793.1036710499,"LEED interpolated"
"Mackenzie District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,42624.3775984939,"LEED interpolated"
"Waimate District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,38136.5860235026,"LEED interpolated"
"Waitaki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,37171.9733256786,"LEED interpolated"
"Central Otago District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,43780.4341701539,"LEED interpolated"
"Queenstown-Lakes District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,62461.2342408923,"LEED interpolated"
"Dunedin City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,43232.9702872595,"LEED interpolated"
"Clutha District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,42437.286342094,"LEED interpolated"
"Southland District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,49028.48063801,"LEED interpolated"
"Gore District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,42907.7445317905,"LEED interpolated"
"Invercargill City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-06-30,42317.9989955357,"LEED interpolated"
"Northland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-06-30,38977.5989282498,"LEED interpolated"
"Auckland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-06-30,61803.3658455863,"LEED interpolated"
"Waikato Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-06-30,48081.9194511541,"LEED interpolated"
"Bay of Plenty Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-06-30,43800.4504943549,"LEED interpolated"
"Gisborne Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-06-30,40751.6761801383,"LEED interpolated"
"Hawke's Bay Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-06-30,43033.161519277,"LEED interpolated"
"Taranaki Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-06-30,45066.2389203119,"LEED interpolated"
"Manawatu-Whanganui Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-06-30,40725.6668503914,"LEED interpolated"
"Wellington Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-06-30,59341.5018035852,"LEED interpolated"
"Tasman Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-06-30,42549.537566267,"LEED interpolated"
"Nelson Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-06-30,43880.389707084,"LEED interpolated"
"Marlborough Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-06-30,44938.2158995012,"LEED interpolated"
"West Coast Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-06-30,40276.6437119047,"LEED interpolated"
"Canterbury Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-06-30,48999.2794804373,"LEED interpolated"
"Otago Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-06-30,44653.9428257209,"LEED interpolated"
"Southland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-06-30,44534.1090063763,"LEED interpolated"
"Northland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-07-31,39032.1024393588,"LEED interpolated"
"Auckland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-07-31,61903.4531771176,"LEED interpolated"
"Waikato Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-07-31,48229.1383515454,"LEED interpolated"
"Bay of Plenty Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-07-31,43863.0399214688,"LEED interpolated"
"Gisborne Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-07-31,40882.9014580172,"LEED interpolated"
"Hawke's Bay Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-07-31,43042.2174392929,"LEED interpolated"
"Taranaki Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-07-31,45166.5023720731,"LEED interpolated"
"Manawatu-Whanganui Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-07-31,40853.947272743,"LEED interpolated"
"Wellington Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-07-31,59546.0224651433,"LEED interpolated"
"West Coast Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-07-31,40445.7173394545,"LEED interpolated"
"Canterbury Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-07-31,49124.5124377422,"LEED interpolated"
"Otago Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-07-31,44750.9030024739,"LEED interpolated"
"Southland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-07-31,44631.1040532092,"LEED interpolated"
"Tasman Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-07-31,42625.1067032225,"LEED interpolated"
"Nelson Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-07-31,43914.222104949,"LEED interpolated"
"Marlborough Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2009-07-31,45005.4500914279,"LEED interpolated"
"New Zealand","Household","Disposable","All",2022-06-13,"annual","New Zealand","Median annual household disposable income for all",2009-07-31,50808.0133552233,"LEED interpolated"
"Far North District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,35368.2320420823,"LEED interpolated"
"Whangarei District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,43020.0974172948,"LEED interpolated"
"Kaipara District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,35415.9904069352,"LEED interpolated"
"Thames-Coromandel District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,34993.0823018546,"LEED interpolated"
"Hauraki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,35349.4442056116,"LEED interpolated"
"Waikato District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,56825.0300850676,"LEED interpolated"
"Matamata-Piako District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,48010.7777671303,"LEED interpolated"
"Hamilton City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,51580.3542285378,"LEED interpolated"
"Waipa District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,53591.8534163461,"LEED interpolated"
"Otorohanga District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,48850.7605410379,"LEED interpolated"
"South Waikato District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,39605.4840816484,"LEED interpolated"
"Waitomo District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,42489.6592932384,"LEED interpolated"
"Taupo District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,46949.3513336264,"LEED interpolated"
"Western Bay of Plenty District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,46311.2056367274,"LEED interpolated"
"Tauranga City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,44388.569430508,"LEED interpolated"
"Rotorua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,45016.6966650379,"LEED interpolated"
"Whakatane District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,44579.0113841845,"LEED interpolated"
"Kawerau District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,32037.1105695217,"LEED interpolated"
"Opotiki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,32263.9461098897,"LEED interpolated"
"Gisborne District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,40882.9014580172,"LEED interpolated"
"Wairoa District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,36097.2246744977,"LEED interpolated"
"Hastings District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,44796.2338263679,"LEED interpolated"
"Napier City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,42125.5943194132,"LEED interpolated"
"Central Hawke's Bay District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,43073.1763901609,"LEED interpolated"
"New Plymouth District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,46064.1311669168,"LEED interpolated"
"Stratford District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,43338.6199034177,"LEED interpolated"
"South Taranaki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,43769.1423842751,"LEED interpolated"
"Ruapehu District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,39429.5894025296,"LEED interpolated"
"Whanganui District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,35899.3250039674,"LEED interpolated"
"Rangitikei District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,41236.2789231901,"LEED interpolated"
"Manawatu District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,46146.6821275263,"LEED interpolated"
"Palmerston North City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,47768.267382327,"LEED interpolated"
"Tararua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,37982.0381955473,"LEED interpolated"
"Horowhenua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,31701.5872414668,"LEED interpolated"
"Kapiti Coast District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,43204.3216513685,"LEED interpolated"
"Porirua City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,62925.713008925,"LEED interpolated"
"Upper Hutt City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,52795.3181127997,"LEED interpolated"
"Lower Hutt City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,55360.52910648,"LEED interpolated"
"Wellington City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,74250.3252009065,"LEED interpolated"
"Masterton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,39106.2843863839,"LEED interpolated"
"Carterton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,42443.9758606896,"LEED interpolated"
"South Wairarapa District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,43133.0001081156,"LEED interpolated"
"Tasman District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,42625.1067032225,"LEED interpolated"
"Nelson City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,43914.222104949,"LEED interpolated"
"Marlborough District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,45005.4500914279,"LEED interpolated"
"Kaikoura District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,40651.3729066957,"LEED interpolated"
"Buller District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,37859.5200198738,"LEED interpolated"
"Grey District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,41951.3344906412,"LEED interpolated"
"Westland District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,41730.5457991658,"LEED interpolated"
"Hurunui District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,43590.1176438587,"LEED interpolated"
"Waimakariri District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,51645.8987048326,"LEED interpolated"
"Christchurch City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,49206.411023394,"LEED interpolated"
"Selwyn District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,64807.3794351629,"LEED interpolated"
"Ashburton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,48118.9708713701,"LEED interpolated"
"Timaru District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2009-07-31,41869.9805578797,"LEED interpolated"
