"area","unit","inc_type","tenure","vintage","inc_freq","level","series","date","value","source"
"Masterton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,27231,"LEED interpolated"
"Carterton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,29493,"LEED interpolated"
"South Wairarapa District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,30276,"LEED interpolated"
"Tasman District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,28449,"LEED interpolated"
"Nelson City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,29232,"LEED interpolated"
"Marlborough District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,29232,"LEED interpolated"
"Kaikoura District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,25665,"LEED interpolated"
"Buller District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,21837,"LEED interpolated"
"Grey District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,25839,"LEED interpolated"
"Westland District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,27318,"LEED interpolated"
"Hurunui District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,27666,"LEED interpolated"
"Waimakariri District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,34539,"LEED interpolated"
"Christchurch City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,31755,"LEED interpolated"
"Selwyn District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,41064,"LEED interpolated"
"Ashburton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,30885,"LEED interpolated"
"Timaru District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,26361,"LEED interpolated"
"Mackenzie District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,27753,"LEED interpolated"
"Waimate District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,25317,"LEED interpolated"
"Waitaki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,25317,"LEED interpolated"
"Central Otago District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,26013,"LEED interpolated"
"Queenstown-Lakes District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,39411,"LEED interpolated"
"Dunedin City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,28275,"LEED interpolated"
"Clutha District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,30885,"LEED interpolated"
"Southland District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,35670,"LEED interpolated"
"Gore District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,29667,"LEED interpolated"
"Invercargill City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,27666,"LEED interpolated"
"Northland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-04-30,26389.7571740132,"LEED interpolated"
"Auckland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-04-30,42798.3962353085,"LEED interpolated"
"Waikato Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-04-30,33513.6536397587,"LEED interpolated"
"Bay of Plenty Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-04-30,30049.6894348183,"LEED interpolated"
"Gisborne Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-04-30,26951.1615626554,"LEED interpolated"
"Hawke's Bay Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-04-30,29219.7658024843,"LEED interpolated"
"Taranaki Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-04-30,30008.2097313051,"LEED interpolated"
"Manawatu-Whanganui Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-04-30,28471.8075879798,"LEED interpolated"
"Wellington Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-04-30,41544.6436141308,"LEED interpolated"
"West Coast Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-04-30,24785.9189430876,"LEED interpolated"
"Canterbury Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-04-30,31618.4649345405,"LEED interpolated"
