"area","date","dwellings_adj","year","pop","ppd","index","index_pop","index_dwel"
"West Coast",2006-06-30,15132.8480476844,2006,32100,2.12121339610702,1,1,1
"Auckland",2007-06-30,481228.654041697,2007,1390400,2.88927101144631,0.998377873347039,1.01267297887837,1.01431833167877
"Bay of Plenty",2007-06-30,110565.513047513,2007,267900,2.42299784639788,0.993504088020903,1.00980022615907,1.01640268855926
"Canterbury",2007-06-30,223855.250616285,2007,547400,2.44533017873372,1.00037554125763,1.0137037037037,1.01332315905016
"Gisborne",2007-06-30,17381.9960302721,2007,46000,2.64641643686303,0.994394776639571,1,1.00563681898991
"Hawke's Bay",2007-06-30,61014.080351876,2007,152900,2.50597893335778,0.991850919845193,1.00525969756739,1.01351894468605
"Manawatu-Whanganui",2007-06-30,95602.8612960707,2007,228700,2.3921878163431,0.988157796312474,0.99694856146469,1.00889611475517
"Marlborough",2007-06-30,20704.7683645273,2007,43800,2.11545472177515,0.990211774980185,1.0045871559633,1.01451748135736
"Nelson",2007-06-30,18641.9560478922,2007,44700,2.3978170469431,0.99822794589064,1.00902934537246,1.01082057412466
"Northland",2007-06-30,68302.7933231122,2007,154700,2.26491469050436,0.99389123474021,1.01309757694826,1.01932439037263
"Otago",2007-06-30,88742.2091910071,2007,201000,2.26498756152634,0.993366731061671,1.00600600600601,1.01272367449917
"Southland",2007-06-30,40814.8732808167,2007,93100,2.28103121524961,0.991869785527263,0.998927038626609,1.00711510039152
"Taranaki",2007-06-30,44390.9072923358,2007,107600,2.42391981969193,0.989681503967709,1.00279589934762,1.01325112708214
"Tasman",2007-06-30,20095.7553064221,2007,46200,2.29899296122678,0.998099874628544,1.00873362445415,1.01065399374943
"Waikato",2007-06-30,169509.776642218,2007,397300,2.34381761258865,0.993199854062581,1.01042726347915,1.01734536039861
"Wellington",2007-06-30,184432.953540901,2007,469300,2.54455611640967,0.996754161168008,1.00643362642076,1.00971098554674
"West Coast",2007-06-30,15317.4292308119,2007,32300,2.10870894281833,0.994105046992615,1.00623052959502,1.01219738561743
"Auckland",2008-06-30,487616.079311753,2008,1405500,2.88239059299233,0.996000367908262,1.02367079388201,1.02778154192037
"Bay of Plenty",2008-06-30,112235.531528589,2008,270200,2.40743725556441,0.987123764312378,1.01846965699208,1.03175477464221
"Canterbury",2008-06-30,227129.575928031,2008,553800,2.43825577420828,0.997481428504373,1.02555555555556,1.02814501227685
"Gisborne",2008-06-30,17495.7360983898,2008,46000,2.62921204008293,0.987930199842415,1,1.0122172600448
"Hawke's Bay",2008-06-30,61791.5760557121,2008,153500,2.48415738516853,0.983214086408227,1.00920447074293,1.02643410493604
"Manawatu-Whanganui",2008-06-30,96567.0220017881,2008,228600,2.3672677821189,0.977863903025841,0.996512641673932,1.01907089380269
"Marlborough",2008-06-30,21065.9339879585,2008,44200,2.09817423833499,0.982123046819916,1.01376146788991,1.03221431486863
"Nelson",2008-06-30,18977.3995970054,2008,45200,2.38178048414666,0.991551813047292,1.02031602708804,1.02900928994557
"Northland",2008-06-30,69620.988496608,2008,156300,2.24501265171802,0.985157810039435,1.02357563850688,1.03899662376518
"Otago",2008-06-30,89991.8918016052,2008,202100,2.24575787833805,0.984933074359717,1.01151151151151,1.0269850184177
"Southland",2008-06-30,41147.2417714463,2008,93300,2.26746668751791,0.985971468519557,1.00107296137339,1.0153163588765
"Taranaki",2008-06-30,44957.1236942264,2008,108300,2.4089619419738,0.983574233093488,1.00931966449208,1.02617538212405
"Tasman",2008-06-30,20350.0456499105,2008,46500,2.28500715919547,0.992027986854437,1.01528384279476,1.02344274178601
"Waikato",2008-06-30,172842.212274866,2008,401600,2.32350647862195,0.984592949163825,1.02136317395727,1.03734561051313
"Wellington",2008-06-30,186194.761606505,2008,471800,2.53390587323331,0.992582245235391,1.01179498177139,1.01935631694827
"West Coast",2008-06-30,15581.9282664443,2008,32400,2.07933186740267,0.980255862620322,1.00934579439252,1.02967585594892
"Auckland",2009-06-30,493014.253260765,2009,1421700,2.88368944832115,0.99644918299547,1.03546977421704,1.03915963993695
"Bay of Plenty",2009-06-30,113575.846621753,2009,272700,2.40103867249333,0.984500147271982,1.0278929513758,1.04407597522871
"Canterbury",2009-06-30,229763.235146891,2009,560600,2.43990297073246,0.998155290516449,1.03814814814815,1.04006676918078
"Gisborne",2009-06-30,17627.544246369,2009,46300,2.62657119749038,0.98693789944578,1.00652173913043,1.01984303135552
"Hawke's Bay",2009-06-30,62425.9424959992,2009,154500,2.47493259729161,0.979562972578297,1.01577909270217,1.03697171201617
"Manawatu-Whanganui",2009-06-30,97487.2280635849,2009,229300,2.35210298368974,0.971599673396834,0.999564080209241,1.02878181989774
"Marlborough",2009-06-30,21407.7046481628,2009,44400,2.07401964525003,0.970816653803614,1.01834862385321,1.04896081032744
"Nelson",2009-06-30,19293.0458846985,2009,45800,2.37391235545261,0.988276256242709,1.03386004514673,1.04612454120604
"Northland",2009-06-30,70777.1381600258,2009,158200,2.2351850344996,0.980845249106024,1.03601833660773,1.05625055282879
"Otago",2009-06-30,91036.0785824778,2009,203300,2.23318054957532,0.979416973445637,1.01751751751752,1.03890124952383
"Southland",2009-06-30,41551.9367050575,2009,93900,2.25982246426966,0.982647500823246,1.00751072961373,1.02530228669961
"Taranaki",2009-06-30,45506.1729377131,2009,109300,2.40187194272753,0.980679400904663,1.01863932898416,1.03870778568865
"Tasman",2009-06-30,20564.4177043855,2009,46900,2.28063836643419,0.990131290526587,1.02401746724891,1.03422392267221
"Waikato",2009-06-30,175469.199979527,2009,406600,2.31721578514885,0.981927248639232,1.03407934893184,1.05311197989961
"Wellington",2009-06-30,188067.742155546,2009,475600,2.52887600259827,0.99061194304662,1.01994424190435,1.02961028187034
"West Coast",2009-06-30,15789.8286370548,2009,32700,2.07095344424836,0.976306036935792,1.01869158878505,1.04341420645342
"Auckland",2010-06-30,495962.23980411,2010,1439600,2.90264033118449,1.00299759678434,1.04850691915513,1.04537331147821
"Bay of Plenty",2010-06-30,114354.068659011,2010,275700,2.41093301911367,0.988557135531468,1.03920090463626,1.05122998690163
"Canterbury",2010-06-30,230889.409805406,2010,567700,2.45875287428063,1.00586671641249,1.0512962962963,1.04516461191383
"Gisborne",2010-06-30,17688.9174185094,2010,46700,2.64007111883137,0.99201051427674,1.01521739130435,1.02339378130939
"Hawke's Bay",2010-06-30,62818.4985700019,2010,156300,2.48812059437917,0.984782700034139,1.0276134122288,1.04349255139552
"Manawatu-Whanganui",2010-06-30,97839.7197954055,2010,230400,2.35487182998678,0.972743420153054,1.00435919790758,1.03250166189719
"Marlborough",2010-06-30,21582.6362340458,2010,44600,2.06647600952683,0.967285594101704,1.02293577981651,1.05753232143035
"Nelson",2010-06-30,19468.9368900406,2010,46500,2.38842009004545,0.994315927251218,1.04966139954853,1.05566185834951
"Northland",2010-06-30,71579.0890281572,2010,160600,2.24367203020458,0.984569517695842,1.05173542894565,1.06821855647836
"Otago",2010-06-30,91633.89562059,2010,204600,2.23279823054938,0.979249297910692,1.02402402402402,1.04572352128193
"Southland",2010-06-30,41841.3489594241,2010,94700,2.26331135001971,0.984164586752408,1.01609442060086,1.03244359152752
"Taranaki",2010-06-30,45879.4500357234,2010,110700,2.41284496465858,0.985159663312504,1.03168685927307,1.04722807651718
"Tasman",2010-06-30,20742.879767433,2010,47400,2.28512147452253,0.992077616459892,1.03493449781659,1.04319912136475
"Waikato",2010-06-30,176928.812159499,2010,412400,2.33088096261126,0.987717909221567,1.04883011190234,1.0618721216961
"Wellington",2010-06-30,189370.180893822,2010,479400,2.53154956993358,0.991659233514866,1.02809350203731,1.03674071424043
"West Coast",2010-06-30,15929.0894450118,2010,32800,2.05912585984451,0.970730179068048,1.02180685358255,1.0526167575871
"Auckland",2011-06-30,499332.049235432,2011,1459600,2.92310498041316,1.01006908744575,1.06307356154406,1.05247608778163
"Bay of Plenty",2011-06-30,115124.538020557,2011,278200,2.41651349732515,0.990845304266106,1.04862419901998,1.05831273005494
"Canterbury",2011-06-30,232678.16799984,2011,559300,2.40374937110724,0.983364986487968,1.03574074074074,1.05326176442363
"Gisborne",2011-06-30,17748.8270956114,2011,46800,2.63679395533532,0.990779115386802,1.01739130434783,1.02685986063668
"Hawke's Bay",2011-06-30,63339.1497166853,2011,157300,2.48345613579594,0.982936536255678,1.03418803418803,1.05214120753674
"Manawatu-Whanganui",2011-06-30,98319.6931246305,2011,231300,2.35252971860686,0.971775947781494,1.00828247602441,1.03756681601995
"Marlborough",2011-06-30,21754.6006309502,2011,44700,2.05473778895327,0.961791113832469,1.02522935779817,1.06595844259042
"Nelson",2011-06-30,19689.650248209,2011,47500,2.41243492907248,1.00431347208618,1.07223476297968,1.06762957261981
"Northland",2011-06-30,72381.3460916046,2011,162500,2.24505357767653,0.985175769193306,1.0641781270465,1.08019112966804
"Otago",2011-06-30,92366.0634840587,2011,206600,2.23675224651808,0.980983430134687,1.03403403403403,1.05407900100011
"Southland",2011-06-30,42093.3242605906,2011,95700,2.27351965379456,0.988603503680884,1.02682403433476,1.03866113210359
"Taranaki",2011-06-30,46443.568262859,2011,111800,2.40722244611439,0.982864000492433,1.04193849021435,1.06010443936529
"Tasman",2011-06-30,20930.7547639623,2011,48200,2.30283143362745,0.999766334198664,1.05240174672489,1.05264771449662
"Waikato",2011-06-30,178686.973568933,2011,417300,2.33536889491844,0.989619684209772,1.06129196337742,1.07242406382092
"Wellington",2011-06-30,190536.662965467,2011,483400,2.53704453765737,0.993811723652083,1.03667167059833,1.0431268276739
"West Coast",2011-06-30,16067.895083927,2011,33100,2.06000847199397,0.971146267402717,1.03115264797508,1.0617892305068
"Auckland",2012-06-30,502442.254324497,2012,1476500,2.93864615742771,1.0154392888549,1.07538237436271,1.0590316783738
"Bay of Plenty",2012-06-30,115871.239615125,2012,278800,2.40611907601968,0.986583269912691,1.05088578967207,1.06517698173117
"Canterbury",2012-06-30,233887.338571464,2012,556000,2.37721290684624,0.972509017004164,1.02962962962963,1.05873530386528
"Gisborne",2012-06-30,17822.2455793035,2012,47000,2.63715365108535,0.99091427158143,1.02173913043478,1.03110749308733
"Hawke's Bay",2012-06-30,63694.280083581,2012,157500,2.4727495120963,0.978698920997397,1.03550295857988,1.05804035987349
"Manawatu-Whanganui",2012-06-30,98689.8839227299,2012,231200,2.34269198432759,0.967712205896473,1.00784655623365,1.04147343610283
"Marlborough",2012-06-30,21831.8333737233,2012,44600,2.04288843893799,0.95624461558308,1.02293577981651,1.06974278667469
"Nelson",2012-06-30,19851.3130381932,2012,48200,2.4280509761377,1.01081454130025,1.08803611738149,1.07639539492765
"Northland",2012-06-30,72960.3881052713,2012,163500,2.24094202684467,0.983371535969816,1.07072691552063,1.08883252804817
"Otago",2012-06-30,92897.806962301,2012,207400,2.23256077599512,0.979145156299345,1.03803803803804,1.06014724309241
"Southland",2012-06-30,42316.4614551169,2012,95900,2.26625754380991,0.985445691799664,1.02896995708155,1.04416708667364
"Taranaki",2012-06-30,46820.5386853878,2012,112700,2.40706329240019,0.982799018356494,1.05032618825722,1.06870903271114
"Tasman",2012-06-30,21138.2927479419,2012,48600,2.29914499621696,0.998165880095809,1.06113537117904,1.06308519689852
"Waikato",2012-06-30,180041.710515931,2012,421500,2.34112416946129,0.992058499331457,1.07197355035605,1.08055477683871
"Wellington",2012-06-30,191482.523581108,2012,485100,2.53339046784874,0.992380350508664,1.04031739223676,1.0483051097329
"West Coast",2012-06-30,16212.8373267667,2012,33100,2.04159206268932,0.962464251091464,1.03115264797508,1.07136721889225
"Auckland",2013-06-30,506141.994184378,2013,1493200,2.95016026561126,1.01941795018375,1.08754552075747,1.06682987145894
"Bay of Plenty",2013-06-30,116723.730189916,2013,279700,2.39625652422959,0.982539318517381,1.05427817565021,1.07301372655608
