"area","date","dwellings","ann.change"
"Gisborne",2007-03-31,17355,0.00538755648244704
"Hawke's Bay",2007-03-31,60919,0.0157229558490062
"Manawatu-Whanganui",2007-03-31,95420,0.00986368639403956
"Marlborough",2007-03-31,20648,0.019050439245879
"Nelson",2007-03-31,18593,0.0120291748312649
"Northland",2007-03-31,68041,0.0213605932330601
"Otago",2007-03-31,88532,0.0145654989055821
"Southland",2007-03-31,40749,0.00853875853875863
"Taranaki",2007-03-31,44246,0.0138631103778557
"Tasman",2007-03-31,20036,0.011765894056456
"Waikato",2007-03-31,168845,0.0191338463859967
"Wellington",2007-03-31,184048,0.011597357341512
"West Coast",2007-03-31,15264,0.0119331742243436
"Auckland",2007-04-30,480190,0.0143859056149394
"Bay of Plenty",2007-04-30,110267,0.0164168648489207
"Canterbury",2007-04-30,223342,0.0130359054375238
"Gisborne",2007-04-30,17357,0.0048630811092456
"Hawke's Bay",2007-04-30,60933,0.0142821473158552
"Manawatu-Whanganui",2007-04-30,95454,0.00881420418516177
"Marlborough",2007-04-30,20662,0.016330545991146
"Nelson",2007-04-30,18615,0.010750936634631
"Northland",2007-04-30,68113,0.0196251609233256
"Otago",2007-04-30,88594,0.0131976212259834
"Southland",2007-04-30,40765,0.0077873918417799
"Taranaki",2007-04-30,44277,0.0125085753487308
"Tasman",2007-04-30,20056,0.0105814773757935
"Waikato",2007-04-30,169011,0.0169929055822657
"Wellington",2007-04-30,184146,0.00958897350285359
"West Coast",2007-04-30,15278,0.0112523166534286
"Auckland",2007-05-31,480798,0.0146500202593194
"Bay of Plenty",2007-05-31,110429,0.0164017414194593
"Canterbury",2007-05-31,223659,0.0134624447183354
"Gisborne",2007-05-31,17365,0.00486082981308944
"Hawke's Bay",2007-05-31,60997,0.0143681505995044
"Manawatu-Whanganui",2007-05-31,95540,0.00889142326131487
"Marlborough",2007-05-31,20696,0.0162533758900074
"Nelson",2007-05-31,18629,0.0107427703325917
"Northland",2007-05-31,68212,0.0197333014411289
"Otago",2007-05-31,88671,0.0127925437744858
"Southland",2007-05-31,40788,0.00676309423902843
"Taranaki",2007-05-31,44339,0.0130229157622974
"Tasman",2007-05-31,20076,0.0106725734997986
"Waikato",2007-05-31,169292,0.0173859217903953
"Wellington",2007-05-31,184309,0.00986806057816647
"West Coast",2007-05-31,15305,0.0120346492098129
"Auckland",2007-06-30,481305,0.0144162372356234
"Bay of Plenty",2007-06-30,110586,0.0165275581865647
"Canterbury",2007-06-30,223889,0.0134117306247341
"Gisborne",2007-06-30,17382,0.00561180214058443
"Hawke's Bay",2007-06-30,61022,0.0136208099398691
"Manawatu-Whanganui",2007-06-30,95610,0.00894873472488977
"Marlborough",2007-06-30,20709,0.0146496815286625
"Nelson",2007-06-30,18642,0.0107900016266333
"Northland",2007-06-30,68314,0.019444568802137
"Otago",2007-06-30,88753,0.0128036881925346
"Southland",2007-06-30,40816,0.00710619818397151
"Taranaki",2007-06-30,44395,0.0133068565689765
"Tasman",2007-06-30,20097,0.0106613024893136
"Waikato",2007-06-30,169537,0.0174519441393755
"Wellington",2007-06-30,184449,0.0097554566506266
"West Coast",2007-06-30,15318,0.0122249388753055
"Auckland",2007-07-31,481853,0.0144722187717772
"Bay of Plenty",2007-07-31,110762,0.0167621355658367
"Canterbury",2007-07-31,224161,0.0137297908422838
"Gisborne",2007-07-31,17387,0.0056683440337788
"Hawke's Bay",2007-07-31,61077,0.01290236985688
"Manawatu-Whanganui",2007-07-31,95701,0.00872745670527975
"Marlborough",2007-07-31,20735,0.0147303513751591
"Nelson",2007-07-31,18655,0.0106728789684689
"Northland",2007-07-31,68421,0.0191402526215443
"Otago",2007-07-31,88874,0.0133634352694352
"Southland",2007-07-31,40836,0.00727658419871235
"Taranaki",2007-07-31,44443,0.013500262251716
"Tasman",2007-07-31,20109,0.0103501984625434
"Waikato",2007-07-31,169767,0.0173425299479244
"Wellington",2007-07-31,184565,0.00980451160729423
"West Coast",2007-07-31,15339,0.0131439894319683
"Auckland",2007-08-31,482441,0.0142559811630156
"Bay of Plenty",2007-08-31,111042,0.0178748212517874
"Canterbury",2007-08-31,224400,0.0134952035120048
"Gisborne",2007-08-31,17402,0.00624494044177171
"Hawke's Bay",2007-08-31,61138,0.013023594909862
"Manawatu-Whanganui",2007-08-31,95788,0.0090276095269195
"Marlborough",2007-08-31,20776,0.0149487054225697
"Nelson",2007-08-31,18679,0.0115894936366099
"Northland",2007-08-31,68534,0.0191080908266295
"Otago",2007-08-31,89029,0.0137090805579276
"Southland",2007-08-31,40862,0.00729675097372184
"Taranaki",2007-08-31,44493,0.0136696056318775
"Tasman",2007-08-31,20133,0.0107435112204428
"Waikato",2007-08-31,170020,0.0172554087689067
"Wellington",2007-08-31,184735,0.00999415003253024
"West Coast",2007-08-31,15361,0.0132585751978891
"Auckland",2007-09-30,483187,0.0147576444892472
"Bay of Plenty",2007-09-30,111154,0.0171113795249076
"Canterbury",2007-09-30,224705,0.0138470284610803
"Gisborne",2007-09-30,17430,0.007456216403676
"Hawke's Bay",2007-09-30,61189,0.0126772917597604
"Manawatu-Whanganui",2007-09-30,95876,0.00895553801631155
"Marlborough",2007-09-30,20800,0.015327540759543
"Nelson",2007-09-30,18747,0.0140090869753353
"Northland",2007-09-30,68672,0.0192202086765514
"Otago",2007-09-30,89129,0.0135205822151467
"Southland",2007-09-30,40892,0.00748989849216519
"Taranaki",2007-09-30,44538,0.0136786762865011
"Tasman",2007-09-30,20162,0.01077856319246
"Waikato",2007-09-30,170348,0.0174889499462429
"Wellington",2007-09-30,184864,0.00939702855145974
"West Coast",2007-09-30,15389,0.0136345672506917
"Auckland",2007-10-31,483925,0.0153927178344444
"Bay of Plenty",2007-10-31,111266,0.0165734751306508
"Canterbury",2007-10-31,224978,0.0140356254281901
"Gisborne",2007-10-31,17435,0.0061169138438455
"Hawke's Bay",2007-10-31,61262,0.012946642636287
"Manawatu-Whanganui",2007-10-31,95944,0.0090658589428072
"Marlborough",2007-10-31,20820,0.0153125914366528
"Nelson",2007-10-31,18767,0.0143776012107453
"Northland",2007-10-31,68770,0.0192829299381938
"Otago",2007-10-31,89236,0.0138265601745078
"Southland",2007-10-31,40922,0.00768283673971926
"Taranaki",2007-10-31,44597,0.0140752194278957
"Tasman",2007-10-31,20190,0.0112697220135236
"Waikato",2007-10-31,170668,0.0180321512720332
"Wellington",2007-10-31,184976,0.00919303184553533
"West Coast",2007-10-31,15414,0.0146797445856099
"Auckland",2007-11-30,484381,0.0152439279995304
"Bay of Plenty",2007-11-30,111368,0.0155568929984862
"Canterbury",2007-11-30,225233,0.0138871383041936
"Gisborne",2007-11-30,17437,0.0059420791508018
"Hawke's Bay",2007-11-30,61364,0.0133430213356232
"Manawatu-Whanganui",2007-11-30,96028,0.00930178783515334
"Marlborough",2007-11-30,20851,0.0149435358255452
