"area","date","dwellings","ann.change"
"Wellington",2011-12-31,191129,0.006201599359835
"West Coast",2011-12-31,16144,0.00893694144115997
"Auckland",2012-01-31,501236,0.00661724983481982
"Bay of Plenty",2012-01-31,115632,0.00710702341137126
"Canterbury",2012-01-31,233494,0.00684760204565649
"Gisborne",2012-01-31,17789,0.00400722429168088
"Hawke's Bay",2012-01-31,63593,0.00728620531259394
"Manawatu-Whanganui",2012-01-31,98555,0.00427981861721105
"Marlborough",2012-01-31,21811,0.00567133898930283
"Nelson",2012-01-31,19802,0.0122169401421051
"Northland",2012-01-31,72753,0.00953292814919648
"Otago",2012-01-31,92722,0.00702688026065701
"Southland",2012-01-31,42224,0.00540514798676095
"Taranaki",2012-01-31,46690,0.0103654973923957
"Tasman",2012-01-31,21077,0.010596471039509
"Waikato",2012-01-31,179542,0.00882728084912721
"Wellington",2012-01-31,191174,0.00612599336877007
"West Coast",2012-01-31,16156,0.00930842756294115
"Auckland",2012-02-29,501504,0.00658742488288344
"Bay of Plenty",2012-02-29,115675,0.00692026462395545
"Canterbury",2012-02-29,233545,0.0064208915989743
"Gisborne",2012-02-29,17799,0.00423155044008117
"Hawke's Bay",2012-02-29,63612,0.00690135494491573
"Manawatu-Whanganui",2012-02-29,98573,0.00395172378672903
"Marlborough",2012-02-29,21813,0.00539269911504414
"Nelson",2012-02-29,19813,0.0120549624559432
"Northland",2012-02-29,72793,0.00880013304138139
"Otago",2012-02-29,92760,0.00682723513258288
"Southland",2012-02-29,42244,0.00545043436867787
"Taranaki",2012-02-29,46717,0.00981345783887777
"Tasman",2012-02-29,21090,0.00981565717021793
"Waikato",2012-02-29,179624,0.00850602720805793
"Wellington",2012-02-29,191236,0.00597580220936345
"West Coast",2012-02-29,16162,0.00886392009987524
"Auckland",2012-03-31,501774,0.00652530184285105
"Bay of Plenty",2012-03-31,115714,0.00666388279917873
"Canterbury",2012-03-31,233614,0.00575172853218997
"Gisborne",2012-03-31,17813,0.00473799988719037
"Hawke's Bay",2012-03-31,63639,0.00673912011769739
"Manawatu-Whanganui",2012-03-31,98610,0.00383781417649876
"Marlborough",2012-03-31,21812,0.00442070362866098
"Nelson",2012-03-31,19826,0.0114274053667993
"Northland",2012-03-31,72844,0.00890569382695539
"Otago",2012-03-31,92794,0.00639885471346147
"Southland",2012-03-31,42257,0.00528131319138803
"Taranaki",2012-03-31,46744,0.00939342244488106
"Tasman",2012-03-31,21106,0.0100014356127673
"Waikato",2012-03-31,179726,0.00809387322403143
"Wellington",2012-03-31,191328,0.00588300238159079
"West Coast",2012-03-31,16181,0.00904215515091056
"Auckland",2012-04-30,502007,0.00642741293622096
"Bay of Plenty",2012-04-30,115762,0.00652981019206855
"Canterbury",2012-04-30,233712,0.0054594029504007
"Gisborne",2012-04-30,17817,0.00468027517762493
"Hawke's Bay",2012-04-30,63653,0.0058626465661642
"Manawatu-Whanganui",2012-04-30,98637,0.00375503724508497
"Marlborough",2012-04-30,21814,0.00400423436277442
"Nelson",2012-04-30,19837,0.00915704329246569
"Northland",2012-04-30,72876,0.00845499204317446
"Otago",2012-04-30,92807,0.00581987644955029
"Southland",2012-04-30,42269,0.00508857448579247
"Taranaki",2012-04-30,46768,0.00897480151881247
"Tasman",2012-04-30,21117,0.0101894374282434
"Waikato",2012-04-30,179805,0.00773999013585613
"Wellington",2012-04-30,191377,0.00565948502364688
"West Coast",2012-04-30,16190,0.00891132298872055
"Auckland",2012-05-31,502217,0.00625935446900683
"Bay of Plenty",2012-05-31,115818,0.00657037075663558
"Canterbury",2012-05-31,233861,0.00550778226846682
"Gisborne",2012-05-31,17820,0.00445296206527246
"Hawke's Bay",2012-05-31,63677,0.00574921422140795
"Manawatu-Whanganui",2012-05-31,98661,0.00373369686857794
"Marlborough",2012-05-31,21827,0.00404802428814577
"Nelson",2012-05-31,19845,0.0082816786911899
"Northland",2012-05-31,72926,0.00846309151754854
"Otago",2012-05-31,92865,0.00590337954939346
"Southland",2012-05-31,42287,0.00489532092868505
"Taranaki",2012-05-31,46796,0.00820855326941716
"Tasman",2012-05-31,21131,0.010327516136744
"Waikato",2012-05-31,179941,0.00751968107145662
"Wellington",2012-05-31,191445,0.00538811778236425
"West Coast",2012-05-31,16199,0.00884349504888826
"Auckland",2012-06-30,502459,0.00615154179023492
"Bay of Plenty",2012-06-30,115878,0.00639210713727389
"Canterbury",2012-06-30,233898,0.00509642820310074
"Gisborne",2012-06-30,17822,0.00411290776945172
"Hawke's Bay",2012-06-30,63699,0.00552494909154055
"Manawatu-Whanganui",2012-06-30,98695,0.00370178275416699
"Marlborough",2012-06-30,21834,0.00335462524700159
"Nelson",2012-06-30,19852,0.00812512695510859
"Northland",2012-06-30,72967,0.00788717608707667
"Otago",2012-06-30,92904,0.00567222342498375
"Southland",2012-06-30,42318,0.00524978026937784
"Taranaki",2012-06-30,46823,0.00805184180499041
"Tasman",2012-06-30,21139,0.00988916491496283
"Waikato",2012-06-30,180055,0.00746414802961048
"Wellington",2012-06-30,191491,0.00490142057232212
"West Coast",2012-06-30,16214,0.00896079651524584
"Auckland",2012-07-31,502773,0.00619600261769104
"Bay of Plenty",2012-07-31,115920,0.00541215653621974
"Canterbury",2012-07-31,233964,0.00467201429086717
"Gisborne",2012-07-31,17827,0.00416830958147929
"Hawke's Bay",2012-07-31,63719,0.00514252362248202
"Manawatu-Whanganui",2012-07-31,98731,0.00372083566309156
"Marlborough",2012-07-31,21835,0.00303183425972708
"Nelson",2012-07-31,19873,0.00806533428020706
"Northland",2012-07-31,73012,0.00761799613579917
"Otago",2012-07-31,92948,0.00563688099797677
"Southland",2012-07-31,42330,0.00517667173252279
"Taranaki",2012-07-31,46858,0.00798072579430809
"Tasman",2012-07-31,21159,0.00959060979101056
"Waikato",2012-07-31,180179,0.00720554530717199
"Wellington",2012-07-31,191598,0.00494610684220187
"West Coast",2012-07-31,16223,0.00851672261593928
"Auckland",2012-08-31,503124,0.00630435304377053
"Bay of Plenty",2012-08-31,115977,0.0053571892960238
"Canterbury",2012-08-31,234173,0.00516806957148797
"Gisborne",2012-08-31,17893,0.00794276701216767
"Hawke's Bay",2012-08-31,63763,0.00526573018650778
"Manawatu-Whanganui",2012-08-31,98755,0.00349554419729503
"Marlborough",2012-08-31,21840,0.00307720571349845
"Nelson",2012-08-31,19906,0.00876703998378359
"Northland",2012-08-31,73058,0.0076131630485754
"Otago",2012-08-31,92995,0.00556877162629754
"Southland",2012-08-31,42350,0.0052696543866313
"Taranaki",2012-08-31,46893,0.00801805674978495
"Tasman",2012-08-31,21186,0.009915149203928
"Waikato",2012-08-31,180356,0.00746848099922359
"Wellington",2012-08-31,191668,0.00483365313034079
"West Coast",2012-08-31,16233,0.00826086956521732
"Auckland",2012-09-30,503402,0.00629682639949469
"Bay of Plenty",2012-09-30,116138,0.00612487113513693
"Canterbury",2012-09-30,234291,0.00525170873611458
"Gisborne",2012-09-30,17896,0.0077143983332395
"Hawke's Bay",2012-09-30,63778,0.00464691334688028
"Manawatu-Whanganui",2012-09-30,98783,0.00340281163660006
"Marlborough",2012-09-30,21847,0.0030301639043202
"Nelson",2012-09-30,19920,0.00876082442902715
"Northland",2012-09-30,73132,0.00767481915260082
"Otago",2012-09-30,93032,0.00545786635252421
"Southland",2012-09-30,42364,0.00486254417799281
"Taranaki",2012-09-30,46914,0.00771130920416718
"Tasman",2012-09-30,21204,0.00947393477743397
"Waikato",2012-09-30,180471,0.00745806235520696
"Wellington",2012-09-30,191714,0.00462186635365147
"West Coast",2012-09-30,16254,0.00893854748603351
"Auckland",2012-10-31,503775,0.00654144547163749
"Bay of Plenty",2012-10-31,116196,0.00625248973794967
"Canterbury",2012-10-31,234401,0.00524060914576352
"Gisborne",2012-10-31,17906,0.00759664622137191
"Hawke's Bay",2012-10-31,63811,0.00478687388791776
"Manawatu-Whanganui",2012-10-31,98807,0.00344274282000234
"Marlborough",2012-10-31,21855,0.00316717157807767
"Nelson",2012-10-31,19924,0.00799352423353228
"Northland",2012-10-31,73172,0.00773998071890913
"Otago",2012-10-31,93066,0.00541241289904382
"Southland",2012-10-31,42380,0.00467012777659237
"Taranaki",2012-10-31,46932,0.00723253567979398
"Tasman",2012-10-31,21223,0.00884156486191001
"Waikato",2012-10-31,180614,0.00763196947212208
"Wellington",2012-10-31,191778,0.00455716889810809
"West Coast",2012-10-31,16262,0.00849612403100775
"Auckland",2012-11-30,504172,0.00666287300208657
"Bay of Plenty",2012-11-30,116276,0.00637879850093914
"Canterbury",2012-11-30,234540,0.00500057847308821
"Gisborne",2012-11-30,17911,0.00770788792618426
"Hawke's Bay",2012-11-30,63843,0.00464216025681385
"Manawatu-Whanganui",2012-11-30,98839,0.00340087712174131
"Marlborough",2012-11-30,21882,0.00380751410615177
"Nelson",2012-11-30,19935,0.00742874469375376
"Northland",2012-11-30,73219,0.00748538011695898
"Otago",2012-11-30,93115,0.00500804092778284
"Southland",2012-11-30,42395,0.00457324297426664
"Taranaki",2012-11-30,46965,0.0071194218686339
"Tasman",2012-11-30,21235,0.00878859857482195
"Waikato",2012-11-30,180752,0.00762048108816238
"Wellington",2012-11-30,191846,0.00431889687521259
"West Coast",2012-11-30,16274,0.00873984999690069
"Auckland",2012-12-31,504437,0.00685425037375031
"Bay of Plenty",2012-12-31,116305,0.00625529926805202
"Canterbury",2012-12-31,234638,0.005119022630792
"Gisborne",2012-12-31,17913,0.00731035258392843
"Hawke's Bay",2012-12-31,63858,0.00460945488869657
"Manawatu-Whanganui",2012-12-31,98862,0.00326770854475344
"Marlborough",2012-12-31,21889,0.00376026046682254
"Nelson",2012-12-31,19941,0.00722295181331445
"Northland",2012-12-31,73260,0.00743959625407387
"Otago",2012-12-31,93158,0.00499487566751178
"Southland",2012-12-31,42411,0.00466669825176491
"Taranaki",2012-12-31,46995,0.00702852122484843
"Tasman",2012-12-31,21245,0.00859285985567793
"Waikato",2012-12-31,180848,0.00758272186843612
"Wellington",2012-12-31,192010,0.00460945225475995
"West Coast",2012-12-31,16286,0.00879583746283452
"Auckland",2013-01-31,504643,0.00679719732820461
"Bay of Plenty",2013-01-31,116351,0.00621800193718003
"Canterbury",2013-01-31,234906,0.00604726459780558
"Gisborne",2013-01-31,17921,0.00742031592557191
"Hawke's Bay",2013-01-31,63874,0.00441872533140431
"Manawatu-Whanganui",2013-01-31,98881,0.00330779767642442
"Marlborough",2013-01-31,21891,0.00366787400852786
"Nelson",2013-01-31,19951,0.00752449247550757
"Northland",2013-01-31,73300,0.00751859029868185
"Otago",2013-01-31,93187,0.00501499104851066
"Southland",2013-01-31,42417,0.00457086017430841
"Taranaki",2013-01-31,47014,0.00693938744913258
"Tasman",2013-01-31,21261,0.00872989514636813
"Waikato",2013-01-31,180932,0.00774192111038086
"Wellington",2013-01-31,192051,0.00458744389927501
"West Coast",2013-01-31,16298,0.00878930428323832
"Auckland",2013-02-28,504928,0.00682746299132209
"Bay of Plenty",2013-02-28,116405,0.00631078452561051
"Canterbury",2013-02-28,235061,0.00649125436211428
"Gisborne",2013-02-28,17925,0.00707904938479698
"Hawke's Bay",2013-02-28,63896,0.00446456643400617
"Manawatu-Whanganui",2013-02-28,98906,0.00337820701409108
"Marlborough",2013-02-28,21897,0.00385091459221565
"Nelson",2013-02-28,19989,0.00888305657901367
"Northland",2013-02-28,73377,0.00802274944019343
"Otago",2013-02-28,93223,0.00499137559292806
"Southland",2013-02-28,42432,0.00445033614241086
"Taranaki",2013-02-28,47037,0.00684975490720729
"Tasman",2013-02-28,21275,0.00877192982456143
"Waikato",2013-02-28,181023,0.00778849151561034
"Wellington",2013-02-28,192129,0.00466962287435413
"West Coast",2013-02-28,16303,0.00872416780101481
"Auckland",2013-03-31,505404,0.00723433258797779
"Bay of Plenty",2013-03-31,116478,0.00660248543823561
"Canterbury",2013-03-31,235236,0.00694307704161568
"Gisborne",2013-03-31,17925,0.006287542805816
"Hawke's Bay",2013-03-31,63918,0.00438410408711642
"Manawatu-Whanganui",2013-03-31,98952,0.00346820809248549
"Marlborough",2013-03-31,21900,0.00403447643499
"Nelson",2013-03-31,20013,0.00943205891253918
"Northland",2013-03-31,73440,0.00818186810169674
"Otago",2013-03-31,93276,0.00519430135569121
"Southland",2013-03-31,42450,0.00456729062640515
"Taranaki",2013-03-31,47070,0.00697415711107308
"Tasman",2013-03-31,21297,0.00904955936700458
"Waikato",2013-03-31,181158,0.00796768414141535
"Wellington",2013-03-31,192243,0.0047823632714501
"West Coast",2013-03-31,16317,0.00840491934985477
"Auckland",2013-04-30,505676,0.00730866302661126
"Bay of Plenty",2013-04-30,116555,0.00685026174392278
"Canterbury",2013-04-30,235327,0.00691021428082417
"Gisborne",2013-04-30,17941,0.00695964528259529
"Hawke's Bay",2013-04-30,63982,0.00516864876753642
"Manawatu-Whanganui",2013-04-30,98994,0.00361933148818405
"Marlborough",2013-04-30,21916,0.004675896213441
"Nelson",2013-04-30,20025,0.0094772395019409
"Northland",2013-04-30,73504,0.00861737746308799
"Otago",2013-04-30,93346,0.00580775157046354
"Southland",2013-04-30,42466,0.00466062599067874
"Taranaki",2013-04-30,47099,0.00707748888128634
"Tasman",2013-04-30,21315,0.00937633186532172
"Waikato",2013-04-30,181326,0.00845916409443559
"Wellington",2013-04-30,192333,0.00499537561984975
"West Coast",2013-04-30,16326,0.00840024706609022
"Auckland",2013-05-31,505948,0.00742905954995554
"Bay of Plenty",2013-05-31,116641,0.00710597661848755
"Canterbury",2013-05-31,235482,0.00693146783773257
"Gisborne",2013-05-31,17963,0.00802469135802464
"Hawke's Bay",2013-05-31,64017,0.00533944752422388
"Manawatu-Whanganui",2013-05-31,99041,0.00385157255653201
"Marlborough",2013-05-31,21929,0.00467311128418935
"Nelson",2013-05-31,20060,0.0108339632149157
"Northland",2013-05-31,73572,0.00885829470970578
"Otago",2013-05-31,93443,0.00622408873095348
"Southland",2013-05-31,42491,0.00482417764324738
"Taranaki",2013-05-31,47133,0.00720147021112916
"Tasman",2013-05-31,21337,0.00974871042544123
"Waikato",2013-05-31,181508,0.00870840997882638
"Wellington",2013-05-31,192419,0.00508762307712396
"West Coast",2013-05-31,16336,0.0084573121797642
"Auckland",2013-06-30,506127,0.00730009811745824
"Bay of Plenty",2013-06-30,116720,0.00726626279362774
"Canterbury",2013-06-30,235585,0.0072125456395522
"Gisborne",2013-06-30,17968,0.0081921220962855
"Hawke's Bay",2013-06-30,64061,0.0056829777547529
"Manawatu-Whanganui",2013-06-30,99077,0.00387051015755602
"Marlborough",2013-06-30,21956,0.00558761564532384
"Nelson",2013-06-30,20090,0.0119887165021157
"Northland",2013-06-30,73644,0.00927816684254523
"Otago",2013-06-30,93580,0.0072763282528201
"Southland",2013-06-30,42512,0.00458433763410371
"Taranaki",2013-06-30,47160,0.00719731755761055
"Tasman",2013-06-30,21360,0.0104546099626284
"Waikato",2013-06-30,181650,0.00885840437644059
"Wellington",2013-06-30,192575,0.00566084045725379
"West Coast",2013-06-30,16350,0.00838781300111013
"Auckland",2013-07-31,506445,0.00730349481774084
"Bay of Plenty",2013-07-31,116833,0.00787612146307803
"Canterbury",2013-07-31,235757,0.00766357217349678
"Gisborne",2013-07-31,17980,0.00858248723845856
"Hawke's Bay",2013-07-31,64098,0.00594799039532945
"Manawatu-Whanganui",2013-07-31,99118,0.00391974151988728
"Marlborough",2013-07-31,21971,0.00622853217311659
"Nelson",2013-07-31,20117,0.012277965078247
"Northland",2013-07-31,73734,0.00988878540513882
"Otago",2013-07-31,93663,0.00769247321082767
"Southland",2013-07-31,42529,0.00470115757146239
"Taranaki",2013-07-31,47186,0.00699987195356178
"Tasman",2013-07-31,21388,0.0108228177135026
"Waikato",2013-07-31,181813,0.00906875940037399
"Wellington",2013-07-31,192700,0.00575162579985178
"West Coast",2013-07-31,16374,0.00930777291499729
"Auckland",2013-08-31,506733,0.00717318195911942
"Bay of Plenty",2013-08-31,116936,0.00826888089879896
"Canterbury",2013-08-31,235951,0.00759267720873025
"Gisborne",2013-08-31,17989,0.0053652266249371
"Hawke's Bay",2013-08-31,64132,0.00578705518874578
"Manawatu-Whanganui",2013-08-31,99162,0.0041213103134019
"Marlborough",2013-08-31,21987,0.00673076923076921
"Nelson",2013-08-31,20139,0.0117050135637495
"Northland",2013-08-31,73815,0.0103616304853678
"Otago",2013-08-31,93769,0.00832302811979146
"Southland",2013-08-31,42596,0.00580873671782767
"Taranaki",2013-08-31,47217,0.00690934681082456
"Tasman",2013-08-31,21414,0.0107618238459359
"Waikato",2013-08-31,181980,0.00900441349331316
"Wellington",2013-08-31,192815,0.00598430619613088
"West Coast",2013-08-31,16390,0.00967165650218682
"Auckland",2013-09-30,507099,0.00734403121163596
"Bay of Plenty",2013-09-30,117037,0.00774079112779624
"Canterbury",2013-09-30,236146,0.00791750430020777
"Gisborne",2013-09-30,17992,0.00536432722396074
"Hawke's Bay",2013-09-30,64162,0.00602088494465169
"Manawatu-Whanganui",2013-09-30,99204,0.00426186692042152
"Marlborough",2013-09-30,22002,0.00709479562411319
"Nelson",2013-09-30,20161,0.0120983935742971
"Northland",2013-09-30,73891,0.0103784936826561
"Otago",2013-09-30,93848,0.00877117550950213
"Southland",2013-09-30,42623,0.00611368142762725
"Taranaki",2013-09-30,47247,0.00709809438547127
"Tasman",2013-09-30,21440,0.0111299754763252
"Waikato",2013-09-30,182161,0.00936438541372309
"Wellington",2013-09-30,192943,0.00641059077584316
"West Coast",2013-09-30,16397,0.00879783437922965
"Auckland",2013-10-31,507440,0.00727507319735987
"Bay of Plenty",2013-10-31,117187,0.00852869289820646
"Canterbury",2013-10-31,236282,0.00802470979219372
"Gisborne",2013-10-31,17997,0.0050820953870212
"Hawke's Bay",2013-10-31,64203,0.00614314146463779
"Manawatu-Whanganui",2013-10-31,99309,0.0050806116975517
"Marlborough",2013-10-31,22020,0.00754975978037065
"Nelson",2013-10-31,20184,0.0130495884360571
"Northland",2013-10-31,73973,0.010946810255289
"Otago",2013-10-31,93969,0.00970279156727494
"Southland",2013-10-31,42643,0.0062057574327512
"Taranaki",2013-10-31,47293,0.00769197988579218
"Tasman",2013-10-31,21475,0.0118739103802479
"Waikato",2013-10-31,182376,0.00975561141439751
"Wellington",2013-10-31,193033,0.00654402486208006
"West Coast",2013-10-31,16412,0.00922395769278062
"Auckland",2013-11-30,507781,0.00715827138357539
"Bay of Plenty",2013-11-30,117315,0.00893563590078772
"Canterbury",2013-11-30,236492,0.00832267417071719
"Gisborne",2013-11-30,18004,0.00519233990285306
"Hawke's Bay",2013-11-30,64255,0.00645333082718547
"Manawatu-Whanganui",2013-11-30,99357,0.00524084622466847
"Marlborough",2013-11-30,22040,0.00722054656795534
"Nelson",2013-11-30,20207,0.0136443441183847
"Northland",2013-11-30,74054,0.011404143733184
"Otago",2013-11-30,94106,0.0106427535842775
"Southland",2013-11-30,42673,0.00655737704918025
"Taranaki",2013-11-30,47333,0.00783562227190471
"Tasman",2013-11-30,21513,0.0130915940663998
"Waikato",2013-11-30,182562,0.0100137204567585
"Wellington",2013-11-30,193147,0.00678148097953568
"West Coast",2013-11-30,16419,0.00890991766007132
"Auckland",2013-12-31,508121,0.00730319147881708
"Bay of Plenty",2013-12-31,117405,0.00945789089033156
"Canterbury",2013-12-31,236578,0.0082680554726855
"Gisborne",2013-12-31,18020,0.00597331546921231
"Hawke's Bay",2013-12-31,64282,0.00663973190516454
"Manawatu-Whanganui",2013-12-31,99405,0.00549250470352614
"Marlborough",2013-12-31,22054,0.00753803280186394
"Nelson",2013-12-31,20226,0.0142921618775387
"Northland",2013-12-31,74140,0.012012012012012
"Otago",2013-12-31,94201,0.0111960325468559
"Southland",2013-12-31,42704,0.00690858503690084
"Taranaki",2013-12-31,47361,0.00778806255984676
"Tasman",2013-12-31,21539,0.013838550247117
"Waikato",2013-12-31,182721,0.0103567636910555
"Wellington",2013-12-31,193272,0.00657257434508618
"West Coast",2013-12-31,16423,0.00841213312047162
"Auckland",2014-01-31,508403,0.00745081176197826
"Bay of Plenty",2014-01-31,117510,0.0099612379781866
"Canterbury",2014-01-31,236754,0.00786697657786517
"Gisborne",2014-01-31,18024,0.00574744712906639
"Hawke's Bay",2014-01-31,64311,0.00684159438895326
"Manawatu-Whanganui",2014-01-31,99437,0.00562292048017321
"Marlborough",2014-01-31,22064,0.00790279110136582
"Nelson",2014-01-31,20250,0.0149867174577716
"Northland",2014-01-31,74223,0.0125920873124148
"Otago",2014-01-31,94280,0.011729103844957
"Southland",2014-01-31,42715,0.00702548506495027
"Taranaki",2014-01-31,47398,0.00816777981026928
"Tasman",2014-01-31,21562,0.0141573773576031
"Waikato",2014-01-31,182844,0.0105675060243628
"Wellington",2014-01-31,193375,0.0068940021140218
"West Coast",2014-01-31,16428,0.00797643882684995
"Auckland",2014-02-28,508783,0.0076347518854174
"Bay of Plenty",2014-02-28,117622,0.0104548773678106
"Canterbury",2014-02-28,236951,0.00804046609178033
"Gisborne",2014-02-28,18037,0.00624825662482564
"Hawke's Bay",2014-02-28,64335,0.00687053962689377
"Manawatu-Whanganui",2014-02-28,99474,0.00574282652215241
"Marlborough",2014-02-28,22086,0.00863131935881634
"Nelson",2014-02-28,20282,0.0146580619340637
"Northland",2014-02-28,74296,0.012524360494433
"Otago",2014-02-28,94363,0.0122287418340967
"Southland",2014-02-28,42732,0.00707013574660631
"Taranaki",2014-02-28,47432,0.00839764440759394
"Tasman",2014-02-28,21583,0.0144770857814336
"Waikato",2014-02-28,183042,0.0111532788651165
"Wellington",2014-02-28,193467,0.00696407101478691
"West Coast",2014-02-28,16440,0.00840336134453779
"Auckland",2014-03-31,509085,0.00728328228506303
"Bay of Plenty",2014-03-31,117709,0.0105685193770497
"Canterbury",2014-03-31,237187,0.0082937985682463
"Gisborne",2014-03-31,18044,0.00663877266387725
"Hawke's Bay",2014-03-31,64363,0.00696204512031029
"Manawatu-Whanganui",2014-03-31,99517,0.00570983911391387
"Marlborough",2014-03-31,22105,0.0093607305936072
"Nelson",2014-03-31,20299,0.0142907110378254
"Northland",2014-03-31,74379,0.0127859477124184
"Otago",2014-03-31,94439,0.0124683734293924
"Southland",2014-03-31,42752,0.0071142520612486
"Taranaki",2014-03-31,47463,0.0083492670490759
"Tasman",2014-03-31,21617,0.01502559045875
"Waikato",2014-03-31,183226,0.0114154494971241
"Wellington",2014-03-31,193568,0.00689231857596906
"West Coast",2014-03-31,16452,0.00827357970215115
"Auckland",2014-04-30,509424,0.00741186055893506
"Bay of Plenty",2014-04-30,117832,0.0109562009351809
"Canterbury",2014-04-30,237380,0.00872403081669337
"Gisborne",2014-04-30,18061,0.00668859037957747
"Hawke's Bay",2014-04-30,64391,0.00639242286893182
"Manawatu-Whanganui",2014-04-30,99561,0.00572761985574877
"Marlborough",2014-04-30,22124,0.00949078298959671
"Nelson",2014-04-30,20330,0.015230961298377
"Northland",2014-04-30,74459,0.0129924902046148
"Otago",2014-04-30,94568,0.0130910804962183
"Southland",2014-04-30,42772,0.00720576461168942
"Taranaki",2014-04-30,47497,0.00845028556869565
"Tasman",2014-04-30,21640,0.0152474783016654
"Waikato",2014-04-30,183444,0.0116806194368155
"Wellington",2014-04-30,193811,0.00768458870812605
"West Coast",2014-04-30,16462,0.00833027073379888
"Auckland",2014-05-31,509953,0.00791583324768563
"Bay of Plenty",2014-05-31,117949,0.0112138956284669
"Canterbury",2014-05-31,237662,0.0092576078001716
"Gisborne",2014-05-31,18071,0.00601235873740458
"Hawke's Bay",2014-05-31,64431,0.00646703219457323
"Manawatu-Whanganui",2014-05-31,99631,0.00595712886582334
"Marlborough",2014-05-31,22143,0.00975876692963662
"Nelson",2014-05-31,20352,0.0145563310069792
"Northland",2014-05-31,74541,0.0131707714891536
"Otago",2014-05-31,94685,0.0132915253148977
"Southland",2014-05-31,42792,0.00708385305123449
"Taranaki",2014-05-31,47537,0.00857148919016404
"Tasman",2014-05-31,21671,0.0156535595444534
"Waikato",2014-05-31,183698,0.0120655838861097
"Wellington",2014-05-31,193924,0.00782147293146718
"West Coast",2014-05-31,16473,0.00838638589618013
"Auckland",2014-06-30,510363,0.00836944087156
"Bay of Plenty",2014-06-30,118065,0.011523303632625
"Canterbury",2014-06-30,237827,0.0095167349364349
"Gisborne",2014-06-30,18078,0.00612199465716823
"Hawke's Bay",2014-06-30,64480,0.0065406409515929
"Manawatu-Whanganui",2014-06-30,99668,0.00596505748054543
"Marlborough",2014-06-30,22155,0.00906358170887223
"Nelson",2014-06-30,20370,0.0139372822299653
"Northland",2014-06-30,74608,0.0130900005431536
"Otago",2014-06-30,94788,0.0129087411840136
"Southland",2014-06-30,42817,0.00717444486262697
"Taranaki",2014-06-30,47569,0.00867260390161162
"Tasman",2014-06-30,21698,0.0158239700374532
"Waikato",2014-06-30,183854,0.012133223231489
"Wellington",2014-06-30,194035,0.00758146176814223
"West Coast",2014-06-30,16479,0.00788990825688063
"Auckland",2014-07-31,510822,0.00864259692562874
"Bay of Plenty",2014-07-31,118214,0.0118202905001155
"Canterbury",2014-07-31,238120,0.0100230321899244
"Gisborne",2014-07-31,18090,0.00611790878754181
"Hawke's Bay",2014-07-31,64516,0.00652126431401912
"Manawatu-Whanganui",2014-07-31,99715,0.00602312395326776
"Marlborough",2014-07-31,22176,0.00933048108870782
"Nelson",2014-07-31,20383,0.0132226475120545
"Northland",2014-07-31,74707,0.013196083218054
"Otago",2014-07-31,94876,0.012950684902256
"Southland",2014-07-31,42836,0.00721860377624672
"Taranaki",2014-07-31,47605,0.00887975246895256
"Tasman",2014-07-31,21716,0.0153357022629512
"Waikato",2014-07-31,184052,0.0123148509732527
"Wellington",2014-07-31,194212,0.00784639335755055
"West Coast",2014-07-31,16494,0.0073286918285087
"Auckland",2014-08-31,511230,0.00887449603637425
"Bay of Plenty",2014-08-31,118348,0.0120749811862899
"Canterbury",2014-08-31,238374,0.0102690812923023
"Gisborne",2014-08-31,18098,0.00605925843571065
"Hawke's Bay",2014-08-31,64542,0.0063930643048713
"Manawatu-Whanganui",2014-08-31,99751,0.00593977531715772
"Marlborough",2014-08-31,22190,0.0092327284304361
"Nelson",2014-08-31,20422,0.0140523362629723
"Northland",2014-08-31,74785,0.0131409605093815
"Otago",2014-08-31,95000,0.013128006057439
"Southland",2014-08-31,42851,0.00598647760353077
"Taranaki",2014-08-31,47640,0.00895863777876604
"Tasman",2014-08-31,21732,0.0148500980666852
"Waikato",2014-08-31,184271,0.0125892955269811
"Wellington",2014-08-31,194335,0.00788320410756427
"West Coast",2014-08-31,16504,0.00695546064673591
"Auckland",2014-09-30,511625,0.00892527889031536
"Bay of Plenty",2014-09-30,118466,0.0122098139904474
"Canterbury",2014-09-30,238750,0.0110270764696416
"Gisborne",2014-09-30,18104,0.00622498888394851
"Hawke's Bay",2014-09-30,64579,0.00649917396589883
"Manawatu-Whanganui",2014-09-30,99801,0.0060179025039313
"Marlborough",2014-09-30,22210,0.0094536860285428
"Nelson",2014-09-30,20432,0.0134417935618274
"Northland",2014-09-30,74876,0.0133304461977779
"Otago",2014-09-30,95123,0.0135857983121643
"Southland",2014-09-30,42872,0.00584191633625042
"Taranaki",2014-09-30,47678,0.00912227231358598
"Tasman",2014-09-30,21761,0.0149720149253731
"Waikato",2014-09-30,184484,0.0127524552456344
"Wellington",2014-09-30,194443,0.00777431676712803
"West Coast",2014-09-30,16513,0.00707446484112939
"Auckland",2014-10-31,512006,0.00899810815071733
"Bay of Plenty",2014-10-31,118573,0.0118272504629353
"Canterbury",2014-10-31,239101,0.0119306591276525
"Gisborne",2014-10-31,18111,0.00633438906484418
"Hawke's Bay",2014-10-31,64613,0.00638599442393661
"Manawatu-Whanganui",2014-10-31,99844,0.00538722572979289
"Marlborough",2014-10-31,22223,0.00921889191643954
"Nelson",2014-10-31,20458,0.0135751089972256
