Quarter,Region,Mean earnings of full quarter jobs,Mean earnings of continuing jobs,Mean earnings of new hires,Mean earnings ratio (%),Median earnings of full quarters jobs,Median earnings of continuing jobs,Median earnings of new hires,Median earnings ratio (%),Total filled jobs,Worker accessions,Worker separations,Worker turnover rate (%),Jobs creation,Job destruction,Total earnings
,Southland,9460,9630,8210,85.3,8790,8770,8130,92.7,41650,8230,7420,19,4510,3700,378093000
1/12/2006,Northland,10130,10520,7800,74.1,9120,9450,6900,73,51040,9320,8520,17.6,4440,3640,484215700
,Auckland,12600,13060,9510,72.8,10850,11250,8280,73.6,599210,93830,95370,15.8,33670,35210,7179452600
,Waikato,10710,11120,8180,73.6,9560,9960,7260,72.9,157440,27700,25720,17.1,11950,9970,1585662000
,Bay of Plenty,10050,10460,7520,71.9,9050,9460,6700,70.8,102120,18940,20030,19,7970,9060,962096900
,Gisborne,9580,9950,7220,72.6,8750,9060,6600,72.9,18180,3760,3580,20.3,1770,1590,158487100
,Hawke's Bay,10020,10410,7390,71,9090,9460,6650,70.3,64440,12560,11420,18.8,5750,4610,607081700
,Taranaki,10700,10940,8290,75.8,9350,9640,6910,71.7,43940,6960,6530,15.4,3020,2590,453935000
,Manawatu-Wanganui,9730,10060,7390,73.5,8840,9120,6640,72.8,94420,14400,15420,15.7,5760,6780,877955700
,Wellington,12900,13300,9770,73.5,10800,11180,8030,71.8,223380,32940,32510,14.7,11850,11420,2771296400
,Tasman,9250,9640,6990,72.5,8500,8840,6280,71,14720,3040,2730,19.8,1570,1260,127574300
,Nelson,9800,10150,7270,71.6,8910,9210,6650,72.2,22980,3600,3730,15.9,1340,1480,214426300
,Marlborough,9670,10070,7420,73.7,8920,9290,6860,73.8,19350,4270,4500,22.5,1860,2100,173757200
,West Coast,9820,10110,8090,80,9020,9320,7400,79.4,13080,2440,2080,17.5,1110,760,121820500
,Canterbury,10530,10900,8060,73.9,9500,9850,7270,73.8,239550,39790,39750,16.6,15730,15700,2383679900
,Otago,10130,10480,7800,74.4,9300,9610,7250,75.4,88570,15750,18270,18.9,6390,8910,834580100
,Southland,9920,10260,7710,75.2,9140,9450,7100,75.1,40790,7670,6410,17.6,3830,2570,385722300
1/09/2006,Northland,9490,9810,7910,80.6,8400,8750,6830,78.1,50240,8360,7760,16.1,4100,3500,454007200
,Auckland,11760,12200,9230,75.7,10040,10410,7970,76.6,600800,95400,83670,15.1,39680,27960,6759171100
,Waikato,9960,10330,8120,78.6,8860,9210,7100,77.1,155440,27550,23490,16.6,13170,9110,1473124100
,Bay of Plenty,9430,9870,7350,74.5,8440,8880,6600,74.3,103160,19770,21200,19.7,8640,10070,928050300
,Gisborne,8770,9110,6760,74.2,8000,8310,5910,71.1,18010,3630,3270,19.4,1990,1620,146146600
,Hawke's Bay,9090,9420,7320,77.7,8380,8710,6440,73.9,63300,11130,11800,18,5270,5950,543827900
,Taranaki,10100,10470,7650,73.1,8730,9040,6850,75.8,43510,6620,6210,14.8,3120,2720,426188800
,Manawatu-Wanganui,9180,9520,7140,75,8290,8620,6300,73.1,95440,14950,12820,14.7,7100,4980,843010700
,Wellington,11810,12240,9260,75.7,10000,10340,7850,75.9,222950,32800,29330,14,13510,10040,2534520500
,Tasman,8630,8900,7050,79.2,8000,8270,6450,78,14420,2740,3310,20.6,1480,2060,116706400
,Nelson,9740,10150,6860,67.6,8350,8690,6130,70.5,23130,3500,3300,14.8,1570,1370,212752000
,Marlborough,9120,9410,7630,81.1,8370,8690,6910,79.5,19560,4630,3500,21.4,2550,1430,164227700
,West Coast,9190,9420,7770,82.5,8270,8520,6880,80.8,12720,2050,1850,15.5,950,750,111947000
,Canterbury,9770,10090,7780,77.1,8770,9070,6890,76,239540,38060,35040,15.4,16880,13860,2222309700
,Otago,9180,9530,7150,75,8380,8740,6420,73.5,91080,17520,14130,17.7,8870,5480,783333700
,Southland,9110,9400,7130,75.9,8350,8680,6170,71.1,39530,6360,7230,17,3170,4030,342150500
1/06/2006,Northland,9070,9670,6710,69.4,8280,8820,5850,66.3,49610,10490,8880,19.8,5660,4050,436158600
,Auckland,11490,12200,8310,68.1,9950,10500,7270,69.2,589120,114910,96930,18.3,56840,38860,6609249600
,Waikato,9640,10240,7080,69.1,8810,9360,6310,67.4,151350,31010,27760,19.6,15950,12690,1414087100
,Bay of Plenty,9280,9820,6910,70.4,8410,8920,6050,67.8,104590,27890,19040,23.4,17620,8760,903184600
,Gisborne,8630,9180,6460,70.4,7880,8330,5870,70.5,17640,3990,4150,23,2090,2260,143945300
,Hawke's Bay,9020,9580,6650,69.4,8330,8870,6120,69,63970,14150,14600,22.4,7080,7530,557270100
,Taranaki,9810,10330,7490,72.5,8770,9230,6450,69.9,43100,7430,6990,16.8,3840,3390,415620900
,Manawatu-Wanganui,8990,9550,6480,67.9,8250,8770,5730,65.3,93310,17630,15570,18,9070,7010,816894000
,Wellington,11640,12340,8390,68,9920,10500,6980,66.5,219500,40890,33540,17.2,20340,12990,2500435900
,Tasman,8570,9080,5920,65.2,7940,8480,5500,64.9,15010,3550,3900,24.6,1840,2190,123762100
,Nelson,8960,9500,6530,68.7,8220,8740,5780,66.1,22920,4610,4100,19.2,2370,1860,196974200
,Marlborough,8860,9330,6670,71.5,8180,8670,5760,66.4,18450,4110,4420,22.9,1970,2280,159530200
,West Coast,8930,9420,6440,68.4,8120,8650,5570,64.4,12520,2130,2260,17.5,1030,1160,111203000
,Canterbury,9540,10100,6770,67,8680,9180,6000,65.4,236530,44570,39620,18,22220,17280,2188985400
,Otago,9060,9750,6080,62.4,8360,8980,5370,59.8,87690,17860,16860,19.9,8810,7810,768887400
,Southland,9070,9550,6660,69.7,8520,9000,5850,65,40380,7100,7740,18.2,3350,3990,362722000
1/03/2006,Northland,9080,9430,7010,74.3,8190,8530,6100,71.5,48020,8300,10470,19.1,3360,5530,420592800
,Auckland,11600,12020,8610,71.6,9810,10120,7280,71.9,571160,87790,106480,16.7,33020,51710,6397809700
,Waikato,9590,9960,7210,72.4,8630,8970,6390,71.2,148070,24950,30260,18.3,10040,15350,1370937800
,Bay of Plenty,9240,9620,6850,71.2,8230,8590,5970,69.5,95750,17210,20520,19.4,7060,10370,849065800
,Gisborne,8520,8800,6880,78.2,7880,8150,6380,78.3,17790,4050,4100,22.9,2080,2130,142097900
,Hawke's Bay,9100,9450,7070,74.8,8390,8750,6390,73,64410,14000,12940,21.1,7310,6250,549180200
,Taranaki,9790,10090,7900,78.3,8520,8780,6930,78.9,42650,6670,7630,16.6,3130,4090,407585800
,Manawatu-Wanganui,9110,9410,6940,73.8,8300,8570,6240,72.8,91230,14530,17990,17.5,5970,9430,801295800
,Wellington,11620,12030,8750,72.7,9790,10110,7210,71.3,212090,31820,37020,16,12070,17280,2398531700
,Tasman,8460,8890,6420,72.2,7870,8300,5920,71.3,15330,3920,3050,23.4,2450,1580,122827200
,Nelson,8930,9260,6510,70.3,8060,8350,5580,66.8,22450,3890,4170,17.8,1600,1880,192574700
,Marlborough,8890,9240,6970,75.4,8240,8580,6370,74.2,18760,4150,4290,22.4,1750,1900,157768700
,West Coast,8990,9410,6680,71,8150,8560,6060,70.8,12650,2190,2310,17.6,960,1080,111227000
,Canterbury,9520,9860,7200,73,8530,8820,6550,74.3,231650,37320,42830,17.1,14700,20200,2125753000
,Otago,9140,9510,6920,72.8,8350,8670,6470,74.6,86690,17020,18060,20.1,7330,8380,755448000
,Southland,9010,9300,7240,77.9,8400,8550,7260,84.9,41000,8260,7590,19.5,4400,3730,356748500
