Quarter,Region,Mean earnings of full quarter jobs,Mean earnings of continuing jobs,Mean earnings of new hires,Mean earnings ratio (%),Median earnings of full quarters jobs,Median earnings of continuing jobs,Median earnings of new hires,Median earnings ratio (%),Total filled jobs,Worker accessions,Worker separations,Worker turnover rate (%),Jobs creation,Job destruction,Total earnings
,Manawatu-Wanganui,7470,7740,5580,72.1,6900,7130,4940,69.3,84300,15350,15560,18.3,7660,7860,593640800
,Wellington,10060,10370,7650,73.8,8400,8670,6160,71.1,196540,31580,34590,16.7,14580,17590,1896902700
,Tasman,7150,7470,5940,79.5,6660,7000,5160,73.7,14670,4750,2760,27.5,3310,1330,94206300
,Nelson,7420,7730,5180,67,6760,7100,4550,64.1,20300,4220,3850,20.1,2210,1840,142283200
,Marlborough,7150,7450,5350,71.8,6740,7010,4760,67.9,16020,3990,3400,23.6,2130,1540,105629700
,West Coast,7220,7520,5420,72.1,6620,6940,4810,69.3,11370,2270,2240,19.8,1240,1200,78770700
,Canterbury,7900,8180,5960,72.9,7160,7410,5340,72.1,207430,37030,36630,17.8,18630,18230,1548128800
,Otago,7600,7860,5970,76,7000,7200,5550,77.1,77940,17230,14790,20.9,9290,6840,551800500
,Southland,7910,8070,6900,85.5,7410,7380,7000,94.9,39900,9350,6880,21,5830,3370,294236900
1/12/2001,Northland,7730,8060,5860,72.7,7100,7460,5210,69.8,42300,8160,6660,17.8,4170,2670,310185800
,Auckland,10340,10740,7820,72.8,9120,9450,6790,71.9,502850,81280,70720,15.3,34920,24360,4970759400
,Waikato,8450,8830,6190,70.1,7870,8250,5640,68.4,132260,24980,20580,17.5,11990,7590,1063619800
,Bay of Plenty,8150,8540,5910,69.2,7520,7910,5210,65.9,85980,16580,14840,18.5,7880,6150,657364100
,Gisborne,7560,7830,5970,76.3,7010,7290,5350,73.4,16600,3460,2730,19.1,1840,1100,114731100
,Hawke's Bay,8020,8320,6100,73.3,7520,7810,5630,72.1,56080,11390,8060,17.9,6250,2920,418980800
,Taranaki,8520,8870,6420,72.4,7690,8020,5590,69.7,38300,7090,5190,16.4,4070,2180,311160200
,Manawatu-Wanganui,8020,8330,5880,70.6,7430,7720,5370,69.6,84500,13880,12610,15.8,6280,5010,640154200
,Wellington,10430,10770,8190,76,8930,9230,6820,73.9,199570,29160,25900,13.9,11860,8600,2011922000
,Tasman,7610,7980,5680,71.2,7050,7480,5230,69.9,12690,2960,2310,21.3,1610,950,90391300
,Nelson,8030,8340,5780,69.3,7310,7570,5000,66.1,19900,3100,3330,16.1,1280,1510,149903700
,Marlborough,7650,7980,5650,70.8,7130,7440,5150,69.2,15410,3430,2810,20.7,1720,1100,110011600
,West Coast,7670,8000,5770,72.1,7110,7540,5300,70.3,11360,2170,1530,16.8,1210,570,82073400
,Canterbury,8380,8710,6070,69.7,7730,8050,5450,67.7,206910,33940,29950,15.6,14640,10650,1636082500
,Otago,8040,8380,6020,71.8,7530,7850,5550,70.7,75570,14020,13650,18.4,6400,6020,566944500
,Southland,8170,8480,6330,74.7,7680,7970,5930,74.4,37450,7690,5650,18.3,4010,1970,293228200
1/09/2001,Northland,7230,7540,5380,71.4,6700,7010,4800,68.5,40800,7180,7310,17.7,3340,3470,284611700
,Auckland,9710,10060,7690,76.4,8500,8790,6620,75.3,492280,83010,81360,16.7,30990,29330,4670431400
,Waikato,8000,8210,7050,85.9,7400,7630,6370,83.5,127870,23340,22330,17.9,10000,8980,984003200
,Bay of Plenty,7780,8010,6640,82.9,7110,7420,5430,73.2,84240,16050,18610,20.3,6820,9380,625592200
,Gisborne,6920,7280,5190,71.3,6340,6720,4730,70.4,15860,3350,3580,21.7,1700,1920,104368300
,Hawke's Bay,7420,7690,5720,74.4,6940,7230,5040,69.7,52670,9020,12150,19.5,4130,7260,379493600
,Taranaki,8000,8280,6060,73.2,7250,7520,5340,71,36410,5930,5910,16.3,2660,2640,287952900
,Manawatu-Wanganui,7310,7620,5230,68.6,6820,7140,4610,64.6,83180,14210,13550,16.8,5830,5180,589045200
,Wellington,10040,10420,7630,73.2,8450,8760,6340,72.4,196440,31050,30390,15.7,11760,11090,1956979300
,Tasman,7100,7250,6240,86.1,6620,6730,5920,88,12010,2450,3560,24,1270,2380,81506300
,Nelson,7840,8230,5310,64.5,6910,7270,4800,66,20130,3610,3350,17.4,1460,1200,151837500
,Marlborough,7090,7410,5340,72.1,6590,6920,4960,71.7,14830,3090,3150,21,1540,1610,100767900
,West Coast,7180,7440,5220,70.2,6600,6870,4600,67,10710,1680,1800,16.2,720,840,75344900
,Canterbury,7850,8140,6050,74.3,7170,7470,5330,71.4,202910,33430,32590,16.3,13330,12490,1534635100
,Otago,7330,7610,5390,70.8,6830,7120,4990,70.1,75190,14230,13290,18.4,6600,5670,530551400
,Southland,7620,7920,5610,70.8,7050,7360,5050,68.6,35410,6290,7710,19.4,2860,4280,265553700
1/06/2001,Northland,7280,7730,5560,71.9,6690,7190,4720,65.7,40920,8360,6980,19,4650,3270,286489000
,Auckland,9520,10030,7570,75.5,8400,8810,6600,74.9,490620,89880,78540,17.4,42260,30910,4588513000
,Waikato,7740,8210,6000,73.1,7240,7680,5220,68,126860,25540,22120,19,12270,8860,950560800
,Bay of Plenty,7550,7980,5990,75.1,7020,7460,5250,70.4,86770,21730,14670,21.9,13580,6520,617044400
,Gisborne,6990,7360,6220,84.5,6510,6920,5620,81.2,16090,3950,3790,24.2,2110,1950,105495100
,Hawke's Bay,7450,7860,6370,81,7040,7440,5820,78.2,55790,11480,10830,20.1,5720,5070,401743800
,Taranaki,8110,8530,6670,78.2,7300,7670,5660,73.8,36390,6090,5190,15.7,3290,2390,289660100
,Manawatu-Wanganui,7440,7890,5680,72,6890,7330,4930,67.3,82560,14670,12730,16.8,7440,5500,593865600
,Wellington,9620,10200,7240,71,8280,8750,6170,70.5,195780,33920,28770,16.2,15950,10790,1862169000
,Tasman,6960,7360,5590,76,6490,6880,5000,72.7,12980,3440,3700,27.3,1730,1990,86033500
,Nelson,7450,7910,5720,72.3,6780,7200,5180,71.9,19980,3780,2920,17.1,1850,990,144186000
,Marlborough,7140,7520,5470,72.7,6680,7020,4880,69.5,14880,3080,3010,20.5,1520,1440,101396400
,West Coast,7140,7380,6690,90.7,6570,6890,5630,81.7,10840,1810,1930,17.1,890,1010,76510300
,Canterbury,7700,8130,6070,74.7,7130,7540,5310,70.4,202080,36310,33020,17.3,17450,14160,1507297200
,Otago,7280,7830,5250,67.1,6860,7400,4600,62.2,74240,14510,12590,18.5,7750,5830,525316200
,Southland,7820,8290,5740,69.2,7230,7730,5240,67.8,36820,6140,6670,17.3,3150,3670,282666300
1/03/2001,Northland,7060,7330,5470,74.6,6480,6760,4750,70.3,39550,7460,8770,20.2,3400,4700,268169800
,Auckland,9570,9910,7090,71.5,8130,8420,6000,71.3,479300,82970,96210,18.4,36430,49670,4493142900
,Waikato,7620,7900,5890,74.6,7020,7310,5170,70.7,123460,22590,26580,19.6,10630,14620,904540000
,Bay of Plenty,7490,7780,5570,71.6,6770,7040,4870,69.2,79710,14640,17230,19.7,6640,9240,573203700
,Gisborne,6820,7090,5240,73.9,6290,6570,4460,67.9,15930,4550,4650,28.8,2790,2880,103192000
,Hawke's Bay,7360,7650,5740,75,6860,7110,5310,74.7,55140,13810,12850,24.4,8220,7260,385559600
,Taranaki,7870,8120,6090,75,7010,7260,5170,71.2,35490,5660,7310,17.9,2630,4270,274955000
,Manawatu-Wanganui,7300,7560,5330,70.5,6750,6990,4650,66.5,80620,14220,17380,19.2,6560,9730,564651000
,Wellington,10020,10360,7540,72.8,8250,8520,6090,71.5,190630,32610,35280,17.7,14620,17300,1841391700
,Tasman,6760,7130,5410,75.9,6240,6640,4800,72.3,13220,4320,2590,27.8,3020,1290,83331100
,Nelson,7280,7560,5190,68.7,6610,6860,4480,65.3,19150,3630,4010,19.8,1660,2040,133924900
,Marlborough,6990,7320,4960,67.8,6410,6730,4480,66.6,14810,3400,3500,23.2,1690,1790,97638100
,West Coast,7030,7380,4810,65.2,6350,6720,4360,64.9,10960,2300,2330,21.1,1270,1290,75608300
,Canterbury,7630,7910,5840,73.8,6910,7150,5140,71.9,198770,37540,39720,19.3,18020,20190,1452938300
,Otago,7360,7630,5790,75.9,6750,6940,5340,77,72310,15590,14670,21.1,8170,7240,507543300
,Southland,7700,7820,6980,89.3,7160,7090,7230,102,37350,8620,6680,21,5470,3530,276106300
1/12/2000,Northland,7540,7810,5920,75.8,6990,7280,4960,68.1,40780,7760,5950,17.2,3980,2170,291694900
,Auckland,10060,10380,8050,77.6,8870,9150,7000,76.5,492290,84350,74340,16.3,37790,27780,4737871500
,Waikato,8220,8520,6370,74.8,7670,8000,5660,70.8,127350,24570,19220,17.6,12700,7350,978080100
,Bay of Plenty,7980,8250,6520,79,7350,7590,5760,75.9,82360,15950,15010,18.9,7120,6180,614241600
,Gisborne,7240,7540,5270,69.9,6760,7080,4620,65.3,16010,3410,2680,19.5,1840,1110,108361600
,Hawke's Bay,7800,8080,6060,75,7270,7500,5530,73.7,54220,11140,8580,18.7,6110,3560,395619600
,Taranaki,8310,8650,5740,66.4,7490,7800,4970,63.7,37150,6130,4560,14.7,3400,1830,291667500
,Manawatu-Wanganui,7760,8040,5560,69.2,7230,7500,5020,66.9,83860,14400,12300,16.1,7320,5220,610483000
,Wellington,10280,10600,7970,75.2,8760,9030,6650,73.6,193510,29400,27550,14.8,11530,9680,1914151900
,Tasman,7320,7590,5750,75.8,6790,7060,5340,75.6,11640,2500,2140,20.2,1440,1090,79373100
,Nelson,7680,7980,5310,66.5,6990,7260,4760,65.6,19370,3210,3100,16.3,1420,1300,141591200
,Marlborough,7320,7660,5450,71.2,6780,7150,4920,68.8,14900,3220,2670,20.1,1620,1070,101419100
,West Coast,7410,7670,5780,75.4,6880,7200,5260,73.1,10980,2040,1510,16.6,1120,580,76576900
,Canterbury,8150,8450,5920,70.1,7520,7800,5290,67.8,200950,35430,29980,16.5,16000,10540,1532772100
,Otago,7730,8010,5860,73.2,7270,7520,5390,71.7,71380,12930,12750,18,5880,5710,517795500
,Southland,7920,8150,6260,76.8,7380,7610,5740,75.4,35440,6920,5000,17.3,3730,1800,267783400
1/09/2000,Northland,6850,7120,5140,72.2,6360,6660,4460,67,38980,6050,6740,16.3,2810,3510,260712100
,Auckland,9290,9630,7130,74,8180,8480,6180,72.9,482510,75750,74880,15.6,30150,29280,4421873700
,Waikato,7600,7920,5650,71.3,7050,7380,5200,70.5,121980,19880,20060,16.4,8880,9060,908767000
,Bay of Plenty,7490,7870,5330,67.7,6700,7090,4650,65.6,81460,14340,16780,18.8,6420,8860,590601800
,Gisborne,6830,7120,5380,75.6,6250,6630,4070,61.4,15280,3000,3300,20.4,1530,1830,99342900
,Hawke's Bay,7080,7330,5620,76.7,6650,6920,4820,69.7,51580,8150,11470,18.4,3690,7010,354186200
,Taranaki,7580,7810,5760,73.8,6920,7190,4890,68,35590,5210,5510,15,2440,2750,264117700
,Manawatu-Wanganui,7050,7300,5260,72.1,6570,6840,4550,66.5,81760,12970,12600,15.7,6080,5710,555841900
,Wellington,9620,9960,7370,74,8160,8450,6180,73.1,191500,28370,27580,14.6,11340,10550,1819005500
,Tasman,6690,6900,5480,79.4,6240,6480,4970,76.7,11280,2140,3480,23.5,1200,2540,73763800
,Nelson,7620,7940,5250,66.1,6760,7020,4630,66,19260,2970,3270,16.1,1170,1470,142420400
,Marlborough,6770,7090,4960,70,6300,6640,4610,69.4,14360,2980,2590,19.6,1710,1330,92684600
,West Coast,6860,7080,5290,74.7,6330,6620,4690,70.9,10460,1510,1610,14.8,670,770,70157100
,Canterbury,7460,7760,5400,69.6,6830,7130,4670,65.5,195600,29920,30180,15.4,13120,13370,1416001200
,Otago,6990,7250,5310,73.2,6540,6800,4630,68.1,71220,12300,12430,17.3,6060,6180,480428400
,Southland,7190,7450,4920,66,6580,6880,4110,59.7,33520,5080,6950,17.5,2470,4330,240162400
1/06/2000,Northland,6940,7280,..,..,6440,6780,..,..,39660,8180,6640,19.1,4480,2950,264050400
,Auckland,9110,9610,..,..,8160,8580,..,..,481660,88890,78270,17.5,41940,31310,4288230200
,Waikato,7570,7970,..,..,7060,7480,..,..,122170,23150,20780,18.2,11750,9370,889665700
,Bay of Plenty,7380,7810,..,..,6830,7250,..,..,83880,20130,14170,21.2,12360,6400,582998900
,Gisborne,6850,7210,..,..,6440,6760,..,..,15580,3650,3710,23.5,2110,2170,99143200
,Hawke's Bay,7100,7520,..,..,6720,7110,..,..,54900,12470,11320,21.9,6600,5450,372007800
,Taranaki,7690,8070,..,..,6950,7300,..,..,35900,5760,5750,16,3010,2990,269061300
,Manawatu-Wanganui,7150,7580,..,..,6640,7040,..,..,81400,14130,12730,16.6,7100,5710,559711100
,Wellington,9220,9730,..,..,8070,8460,..,..,190710,33140,28640,16.4,15620,11120,1738054100
,Tasman,6760,7190,..,..,6260,6690,..,..,12620,3330,3380,26.5,1740,1790,79987700
,Nelson,7200,7600,..,..,6630,6960,..,..,19560,3660,3010,17.3,1810,1160,134514100
,Marlborough,6850,7120,..,..,6470,6740,..,..,13970,2820,3070,20.9,1370,1620,92024400
,West Coast,6860,7230,..,..,6390,6800,..,..,10550,1700,1830,16.6,850,980,72009000
,Canterbury,7430,7840,..,..,6920,7300,..,..,195850,34910,30090,16.8,17610,12780,1400858600
,Otago,7010,7500,..,..,6590,7050,..,..,71350,14220,12380,18.9,7720,5880,482539300
,Southland,7320,7710,..,..,6860,7200,..,..,35370,6290,6580,18.1,3390,3670,254217200
1/03/2000,Northland,6890,7180,..,..,6340,6620,..,..,38130,7720,8820,21.4,4050,5140,258152700
,Auckland,9480,9860,..,..,7950,8240,..,..,471200,86720,98590,19.4,39560,51440,4368446500
,Waikato,7500,7820,..,..,6900,7200,..,..,119600,23770,27060,21,12210,15500,865162000
,Bay of Plenty,7430,7760,..,..,6670,6980,..,..,77900,14800,16530,19.9,7030,8750,557475000
,Gisborne,6850,7120,..,..,6240,6500,..,..,15640,4130,4480,27.2,2440,2790,101808500
,Hawke's Bay,7140,7390,..,..,6640,6870,..,..,53730,13160,12030,23.7,7850,6720,363840500
,Taranaki,7630,7900,..,..,6860,7140,..,..,35880,6260,7000,18.3,3260,4000,269184000
,Manawatu-Wanganui,7060,7330,..,..,6510,6780,..,..,80010,13840,16170,18.5,6540,8870,543347700
,Wellington,9920,10330,..,..,7960,8260,..,..,186210,31460,43760,19.6,13660,25960,1822655800
,Tasman,6690,7030,..,..,6210,6520,..,..,12680,3820,2540,26.4,2760,1470,78995400
,Nelson,7180,7470,..,..,6390,6660,..,..,18920,3450,3640,18.7,1630,1830,132745600
,Marlborough,6740,7050,..,..,6240,6550,..,..,14220,3180,3390,22.9,1810,2020,92699800
,West Coast,6940,7160,..,..,6320,6600,..,..,10690,1930,1950,18.2,1010,1030,71993700
,Canterbury,7480,7760,..,..,6730,6960,..,..,191080,34000,37730,18.6,15820,19540,1390112500
,Otago,7180,7450,..,..,6560,6780,..,..,69510,14420,14480,20.7,7570,7630,485192500
,Southland,7400,7580,..,..,6760,6860,..,..,35650,7680,6750,20.5,4800,3870,258711300
1/12/1999,Northland,7470,7770,..,..,6950,7250,..,..,39040,6980,5260,16,3900,2170,273440100
,Auckland,9840,10200,..,..,8750,9030,..,..,483360,79530,67410,15.4,35550,23430,4545074800
,Waikato,7970,8300,..,..,7470,7800,..,..,122790,22050,17260,16.3,11710,6920,916198300
,Bay of Plenty,7840,8170,..,..,7200,7510,..,..,79590,14180,12890,17.1,7010,5720,588629400
,Gisborne,7140,7480,..,..,6660,7000,..,..,16040,3580,2500,19.6,2170,1080,103216100
,Hawke's Bay,7460,7710,..,..,7030,7300,..,..,52530,10150,7390,17.1,5690,2930,366911700
,Taranaki,7980,8260,..,..,7200,7480,..,..,36630,5970,4710,14.8,3110,1850,278059700
,Manawatu-Wanganui,7560,7850,..,..,7020,7320,..,..,82450,12930,11050,14.7,6370,4490,584564600
,Wellington,10070,10400,..,..,8640,8930,..,..,197880,35160,25950,15.8,18220,9010,1864163100
,Tasman,7000,7270,..,..,6500,6810,..,..,11430,2450,1830,19.3,1500,880,73642000
,Nelson,7580,7840,..,..,6910,7150,..,..,19080,2820,2850,14.8,1180,1220,138028200
,Marlborough,7060,7350,..,..,6590,6900,..,..,14440,3010,2310,18.8,1640,940,95255300
,West Coast,7180,7460,..,..,6750,7100,..,..,10690,1950,1400,16.1,1170,620,73682800
,Canterbury,7950,8220,..,..,7350,7610,..,..,194800,31820,26810,15.3,15010,10000,1465205900
,Otago,7570,7860,..,..,7110,7400,..,..,70210,12590,11840,17.5,6480,5740,510491600
,Southland,7760,8010,..,..,7130,7340,..,..,34730,6420,4330,16,3850,1760,256562800
1/09/1999,Northland,6860,7070,..,..,6360,6590,..,..,37330,5770,6290,16,2850,3380,250687300
,Auckland,9190,9450,..,..,8090,8330,..,..,471250,74910,68620,15.3,31900,25610,4284635800
,Waikato,7440,7640,..,..,6930,7140,..,..,118010,19520,20050,16.7,9320,9850,850818300
,Bay of Plenty,7280,7420,..,..,6630,6840,..,..,78290,14570,17340,20,7120,9890,549080100
,Gisborne,6570,6790,..,..,6020,6250,..,..,14950,3050,3550,21.7,1510,2010,93850900
,Hawke's Bay,6900,7100,..,..,6560,6780,..,..,49770,8190,11170,18.9,3730,6710,334775700
,Taranaki,7420,7650,..,..,6770,7000,..,..,35360,5170,5750,15.3,2350,2930,257936800
,Manawatu-Wanganui,7040,7230,..,..,6560,6760,..,..,80570,12000,12010,14.9,5800,5810,544580900
,Wellington,9540,9790,..,..,8140,8350,..,..,188680,28280,26980,14.7,11480,10180,1780922300
,Tasman,6470,6680,..,..,6080,6340,..,..,10790,2100,3330,23.8,1180,2410,67797900
,Nelson,7320,7540,..,..,6570,6780,..,..,19110,2840,2960,15.1,1230,1350,134984100
,Marlborough,6700,6880,..,..,6230,6440,..,..,13730,2510,2410,18,1500,1410,88701700
,West Coast,6710,6830,..,..,6280,6460,..,..,10130,1400,1500,14.3,650,750,68009000
,Canterbury,7390,7590,..,..,6770,6990,..,..,189780,28500,27660,14.8,12930,12080,1368307100
,Otago,6850,7020,..,..,6430,6610,..,..,69480,12270,11400,17.1,6670,5790,471333500
,Southland,6980,7140,..,..,6480,6650,..,..,32650,5430,7060,18.7,2560,4200,228711000
1/06/1999,Northland,6640,..,..,..,6180,..,..,..,37860,..,..,..,37850,0,245973300
,Auckland,8790,..,..,..,7750,..,..,..,464890,..,..,..,464820,0,4120671500
,Waikato,7180,..,..,..,6690,..,..,..,118630,..,..,..,118610,0,837234600
,Bay of Plenty,6970,..,..,..,6370,..,..,..,81070,..,..,..,81060,0,549558700
,Gisborne,6370,..,..,..,5890,..,..,..,15450,..,..,..,15410,0,95156100
,Hawke's Bay,6690,..,..,..,6320,..,..,..,52760,..,..,..,52740,0,349411500
,Taranaki,7500,..,..,..,6740,..,..,..,35940,..,..,..,35920,0,268614800
,Manawatu-Wanganui,6680,..,..,..,6250,..,..,..,80470,..,..,..,80470,0,531911900
,Wellington,9070,..,..,..,7720,..,..,..,187420,..,..,..,187370,0,1724403700
,Tasman,6470,..,..,..,6080,..,..,..,12020,..,..,..,12010,0,75435200
,Nelson,6850,..,..,..,6260,..,..,..,19230,..,..,..,19230,0,130307700
,Marlborough,6450,..,..,..,6040,..,..,..,13640,..,..,..,13640,0,88327300
,West Coast,6560,..,..,..,6110,..,..,..,10230,..,..,..,10230,0,67350600
,Canterbury,7070,..,..,..,6550,..,..,..,189010,..,..,..,188990,0,1333528900
,Otago,6740,..,..,..,6320,..,..,..,68600,..,..,..,68590,0,458180100
,Southland,7060,..,..,..,6490,..,..,..,34280,..,..,..,34280,0,247590700
