"date","index","area","level","measure","freq","area_number"
2019-07-31,1.377,"Canterbury Region","Regional Council","flow","Monthly",13
2019-08-31,1.391,"Canterbury Region","Regional Council","flow","Monthly",13
2019-09-30,1.414,"Canterbury Region","Regional Council","flow","Monthly",13
2019-10-31,1.363,"Canterbury Region","Regional Council","flow","Monthly",13
2019-11-30,1.425,"Canterbury Region","Regional Council","flow","Monthly",13
2019-12-31,1.428,"Canterbury Region","Regional Council","flow","Monthly",13
2020-01-31,1.437,"Canterbury Region","Regional Council","flow","Monthly",13
2020-02-29,1.423,"Canterbury Region","Regional Council","flow","Monthly",13
2020-03-31,1.426,"Canterbury Region","Regional Council","flow","Monthly",13
2020-04-30,1.382,"Canterbury Region","Regional Council","flow","Monthly",13
2020-05-31,1.407,"Canterbury Region","Regional Council","flow","Monthly",13
2020-06-30,1.39,"Canterbury Region","Regional Council","flow","Monthly",13
2020-07-31,1.426,"Canterbury Region","Regional Council","flow","Monthly",13
2020-08-31,1.413,"Canterbury Region","Regional Council","flow","Monthly",13
2020-09-30,1.421,"Canterbury Region","Regional Council","flow","Monthly",13
2020-10-31,1.442,"Canterbury Region","Regional Council","flow","Monthly",13
2020-11-30,1.39,"Canterbury Region","Regional Council","flow","Monthly",13
2020-12-31,1.441,"Canterbury Region","Regional Council","flow","Monthly",13
2021-01-31,1.472,"Canterbury Region","Regional Council","flow","Monthly",13
2021-02-28,1.508,"Canterbury Region","Regional Council","flow","Monthly",13
2021-03-31,1.438,"Canterbury Region","Regional Council","flow","Monthly",13
2021-04-30,1.489,"Canterbury Region","Regional Council","flow","Monthly",13
2021-05-31,1.462,"Canterbury Region","Regional Council","flow","Monthly",13
2021-06-30,1.486,"Canterbury Region","Regional Council","flow","Monthly",13
2021-07-31,1.483,"Canterbury Region","Regional Council","flow","Monthly",13
2021-08-31,1.487,"Canterbury Region","Regional Council","flow","Monthly",13
2021-09-30,1.503,"Canterbury Region","Regional Council","flow","Monthly",13
2021-10-31,1.535,"Canterbury Region","Regional Council","flow","Monthly",13
2021-11-30,1.53,"Canterbury Region","Regional Council","flow","Monthly",13
2021-12-31,1.552,"Canterbury Region","Regional Council","flow","Monthly",13
2022-01-31,1.516,"Canterbury Region","Regional Council","flow","Monthly",13
2000-12-31,0.713470554582038,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2001-01-31,0.709669994991137,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2001-02-28,0.755104851594054,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2001-03-31,0.758754843599921,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2001-04-30,0.750810752723848,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2001-05-31,0.800724625894401,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2001-06-30,0.734683042777735,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2001-07-31,0.717517850549824,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2001-08-31,0.756091080093136,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2001-09-30,0.757505969084804,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2001-10-31,0.726472558449077,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2001-11-30,0.737868930273188,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2001-12-31,0.748915533164139,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2002-01-31,0.778620772228713,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2002-02-28,0.742120324714305,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2002-03-31,0.824267239041653,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2002-04-30,0.759381457762016,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2002-05-31,0.799424679060411,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2002-06-30,0.766676494090343,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2002-07-31,0.768128393339304,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2002-08-31,0.76830325704835,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2002-09-30,0.793741938209707,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2002-10-31,0.779810723513118,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2002-11-30,0.754016340184006,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2002-12-31,0.796041408936926,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2003-01-31,0.753529034969547,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2003-02-28,0.768214736424415,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2003-03-31,0.800984903199375,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2003-04-30,0.817603585582893,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2003-05-31,0.833358391181628,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2003-06-30,0.792354715179325,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2003-07-31,0.793755472039941,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2003-08-31,0.802603549509161,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2003-09-30,0.801358615478133,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2003-10-31,0.80631671082953,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2003-11-30,0.849573276209444,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2003-12-31,0.832491957291908,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2004-01-31,0.847823424331538,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2004-02-29,0.824802061291815,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2004-03-31,0.864881782895716,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2004-04-30,0.872698276331825,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2004-05-31,0.844118969918003,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2004-06-30,0.809753556492683,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2004-07-31,0.821898633826856,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2004-08-31,0.837435535425924,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2004-09-30,0.842265916818405,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2004-10-31,0.959817752741354,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2004-11-30,0.89015717285293,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2004-12-31,0.979649998352912,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2005-01-31,0.831137180620906,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2005-02-28,0.902444296024904,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2005-03-31,0.885747182966464,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2005-04-30,0.862661225218927,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2005-05-31,0.884745486927243,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2005-06-30,0.932245396793741,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2005-07-31,0.900412591439136,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2005-08-31,0.918406793745757,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2005-09-30,0.905664368676797,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2005-10-31,0.940858250963762,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2005-11-30,0.943881996916016,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2005-12-31,0.929971668064696,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2006-01-31,0.98270292540794,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2006-02-28,0.921377655078691,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2006-03-31,0.922194921485019,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2006-04-30,0.956756623831492,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2006-05-31,0.963626696724479,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2006-06-30,0.910798451752486,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2006-07-31,0.938360864216674,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2006-08-31,0.979184872884505,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2006-09-30,0.969841056301231,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2006-10-31,0.968368288432285,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2006-11-30,1,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2006-12-31,1.00207667526348,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2007-01-31,1.00949011704292,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2007-02-28,0.965931687179072,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2007-03-31,0.98025189091179,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2007-04-30,1.02668842047795,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2007-05-31,0.98397017725378,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2007-06-30,0.980491866239872,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2007-07-31,1.00594745043142,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2007-08-31,0.967329950175225,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2007-09-30,1.32121207472519,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2007-10-31,0.982790348147088,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2007-11-30,1.01491272539367,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2007-12-31,0.994133522902111,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2008-01-31,0.989049811235904,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2008-02-29,0.993569796847004,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2008-03-31,1.00700941899538,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2008-04-30,1.16079918563769,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2008-05-31,1.00555893154109,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2008-06-30,1.04098245890612,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2008-07-31,0.995862846133517,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2008-08-31,1.03557969420635,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2008-09-30,1.01181421468874,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2008-10-31,0.975588353776841,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2008-11-30,0.965772931740471,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2008-12-31,1.00416190359022,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2009-01-31,1.00749317737767,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2009-02-28,1.0466779546088,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2009-03-31,1.05357161898003,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2009-04-30,1.0252670602519,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2009-05-31,1.0129098371674,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2009-06-30,1.0178295848626,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2009-07-31,1.01170534162579,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2009-08-31,1.03867541037229,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2009-09-30,0.986347862116052,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2009-10-31,0.997680251778618,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2009-11-30,0.95536687787371,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2009-12-31,0.997580817732047,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2010-01-31,1.02752477071814,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2010-02-28,1.03754569191613,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2010-03-31,0.882756259407503,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2010-04-30,1.07540171003822,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2010-05-31,1.01828061140155,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2010-06-30,0.996258209564924,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2010-07-31,1.04748971920505,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2010-08-31,1.00557223177101,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2010-09-30,0.981155242060828,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2010-10-31,1.01077692276833,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2010-11-30,0.972213114063812,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2010-12-31,0.960395807971043,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2011-01-31,1.05391075958657,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2011-02-28,1.06514963787266,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2011-03-31,1.01669557493061,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2011-04-30,0.987719963246719,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2011-05-31,1.04675818890244,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2011-06-30,1.00610520002126,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2011-07-31,1.00994297805901,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2011-08-31,1.02264565084076,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2011-09-30,1.05537175392528,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2011-10-31,1.01131836299572,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2011-11-30,0.974333901630043,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2011-12-31,0.993565030273545,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2012-01-31,1.0177906233847,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2012-02-29,0.93172988930193,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2012-03-31,0.957610894341843,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2012-04-30,1.00580106063781,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2012-05-31,0.99082915432106,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2012-06-30,1.02542338369509,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2012-07-31,0.992716015698915,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2012-08-31,0.989463844869171,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2012-09-30,0.960136138711147,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2012-10-31,0.982254259297979,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2012-11-30,1.01583497914307,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2012-12-31,0.973596220879838,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2013-01-31,0.972818742535614,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2013-02-28,1.0127735772006,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2013-03-31,1.02274051690582,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2013-04-30,0.975119658779148,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2013-05-31,0.986472522336633,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2013-06-30,0.977242777723287,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2013-07-31,0.953961644865323,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2013-08-31,0.924859952656283,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2013-09-30,0.971620076208806,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2013-10-31,0.93794070324889,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2013-11-30,1.01141649798326,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2013-12-31,0.901651385175954,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2014-01-31,0.976375247249993,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2014-02-28,1.03412884399501,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2014-03-31,0.96692937137059,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2014-04-30,0.974980237158921,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2014-05-31,0.995621061835475,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2014-06-30,0.93890943891007,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2014-07-31,1.00806553687935,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2014-08-31,1.01308004205343,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2014-09-30,0.960687133503442,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2014-10-31,0.984435630799221,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2014-11-30,1.0146586891875,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2014-12-31,1.04183457238576,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2015-01-31,0.993751015148068,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2015-02-28,1.03115263881073,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2015-03-31,1.0795652090224,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2015-04-30,1.02215735100733,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2015-05-31,1.05894850214062,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2015-06-30,1.0337879883451,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2015-07-31,1.01770176782654,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2015-08-31,1.01269524218516,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2015-09-30,1.04317040709608,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2015-10-31,1.05384457208642,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2015-11-30,1.05080944512008,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2015-12-31,1.09917735011838,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2016-01-31,1.07060980042234,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2016-02-29,1.05833570020156,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2016-03-31,1.09891185817014,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2016-04-30,1.12985830922403,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2016-05-31,1.12862587807209,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2016-06-30,1.14762203558031,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2016-07-31,1.15268112503867,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2016-08-31,1.17801182336326,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2016-09-30,1.11499450864347,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2016-10-31,1.19120505843097,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2016-11-30,1.3346144458439,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2016-12-31,1.26128646433299,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2017-01-31,1.22844017891034,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2017-02-28,1.13071248758411,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2017-03-31,1.20201504021343,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2017-04-30,1.21062691029669,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2017-05-31,1.26998229646688,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2017-06-30,1.22949257911859,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2017-07-31,1.22594663224286,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2017-08-31,1.24725802986123,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2017-09-30,1.29786000905413,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2017-10-31,1.2025254597695,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2017-11-30,1.27067503676882,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2017-12-31,1.31658774974541,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2018-01-31,1.29666334360697,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2018-02-28,1.31766152435868,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2018-03-31,1.39601809244058,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2018-04-30,1.29816296528648,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2018-05-31,1.23413194499299,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2018-06-30,1.33400206455236,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2018-07-31,1.51797795643326,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2018-08-31,1.61155725595944,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2018-09-30,1.35430541448256,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2018-10-31,1.42796823869356,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2018-11-30,1.65791655537364,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2018-12-31,1.46168841958771,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2019-01-31,1.49315879112805,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2019-02-28,1.63959915057147,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2019-03-31,1.84917604916759,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2019-04-30,2.01252175703972,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2019-05-31,1.61889536520358,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2019-06-30,1.86239801156444,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2019-07-31,1.57290799666828,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2019-08-31,1.56332078688849,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2019-09-30,1.60314274694563,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2019-10-31,1.85066962854194,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2019-11-30,2.05815638252999,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2019-12-31,1.59312645994809,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2020-01-31,1.51379877261371,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2020-02-29,1.53204712186851,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2020-03-31,1.75054993352761,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2020-04-30,2.03780490048615,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2020-05-31,1.65328076902838,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2020-06-30,1.69308859344025,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2020-07-31,1.64002290169183,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2020-08-31,1.73473513096972,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2020-09-30,1.79562380302615,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2020-10-31,1.69749176516543,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2020-11-30,1.80041043236032,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2020-12-31,1.72592175458702,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2021-01-31,1.82384982359506,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2021-02-28,1.81855541287372,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2021-03-31,1.84877836985008,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2021-04-30,1.93823570812104,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2021-05-31,1.86728480231276,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2021-06-30,1.80716592903984,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2021-07-31,2.04648533284509,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2021-08-31,1.71960573572305,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2021-09-30,1.80190988238331,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2021-10-31,2.05987289461673,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2021-11-30,1.90321308685493,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2021-12-31,2.34139208085235,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2022-01-31,1.98945645573462,"Central Hawke's Bay District","Territorial Local Authority","flow","Monthly",32
2000-12-31,0.553623355690393,"Central Otago District","Territorial Local Authority","flow","Monthly",69
2001-01-31,0.570997958168768,"Central Otago District","Territorial Local Authority","flow","Monthly",69
2001-02-28,0.613885267920819,"Central Otago District","Territorial Local Authority","flow","Monthly",69
2001-03-31,0.630309717700142,"Central Otago District","Territorial Local Authority","flow","Monthly",69
2001-04-30,0.591985258956881,"Central Otago District","Territorial Local Authority","flow","Monthly",69
2001-05-31,0.595286745062698,"Central Otago District","Territorial Local Authority","flow","Monthly",69
2001-06-30,0.596726384492691,"Central Otago District","Territorial Local Authority","flow","Monthly",69
2001-07-31,0.641152461022552,"Central Otago District","Territorial Local Authority","flow","Monthly",69
2001-08-31,0.616263487352573,"Central Otago District","Territorial Local Authority","flow","Monthly",69
2001-09-30,0.620456670396155,"Central Otago District","Territorial Local Authority","flow","Monthly",69
2001-10-31,0.65279353041164,"Central Otago District","Territorial Local Authority","flow","Monthly",69
2001-11-30,0.624394996489514,"Central Otago District","Territorial Local Authority","flow","Monthly",69
2001-12-31,0.618018942501899,"Central Otago District","Territorial Local Authority","flow","Monthly",69
2002-01-31,0.641836275843386,"Central Otago District","Territorial Local Authority","flow","Monthly",69
2002-02-28,0.702349570593095,"Central Otago District","Territorial Local Authority","flow","Monthly",69
