"date","index","area","level","measure","freq","area_number"
2009-11-30,1.03021444156081,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2009-12-31,1.01969885677708,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2010-01-31,1.0705887146926,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2010-02-28,1.04726083478645,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2010-03-31,1.07717636451186,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2010-04-30,1.09125982908799,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2010-05-31,1.12289911270937,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2010-06-30,1.10920703063501,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2010-07-31,1.1037038072987,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2010-08-31,1.12216105875526,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2010-09-30,1.06986663543325,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2010-10-31,1.0730045697807,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2010-11-30,1.0511301938871,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2010-12-31,1.10348950335145,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2011-01-31,1.06395380506909,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2011-02-28,1.10364897822764,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2011-03-31,1.08432529167928,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2011-04-30,1.11591417803988,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2011-05-31,1.14584525005986,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2011-06-30,1.17750987382296,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2011-07-31,1.11674521613841,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2011-08-31,1.12468308653423,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2011-09-30,1.16823149044575,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2011-10-31,1.12686458958073,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2011-11-30,1.15203589968041,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2011-12-31,1.13690738029793,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2012-01-31,1.09581075230478,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2012-02-29,1.1717579873185,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2012-03-31,1.19323395121,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2012-04-30,1.18582562340002,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2012-05-31,1.22457014365751,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2012-06-30,1.25093706485334,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2012-07-31,1.2157270339803,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2012-08-31,1.19345682982571,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2012-09-30,1.22828812623318,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2012-10-31,1.19086344592506,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2012-11-30,1.20912531291985,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2012-12-31,1.22774695489335,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2013-01-31,1.22423675759499,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2013-02-28,1.23988041157258,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2013-03-31,1.27206252866402,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2013-04-30,1.22259429042279,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2013-05-31,1.28522003421041,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2013-06-30,1.25071972843208,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2013-07-31,1.22522211496204,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2013-08-31,1.2485961769478,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2013-09-30,1.24411586843176,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2013-10-31,1.31345790331091,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2013-11-30,1.26460097357288,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2013-12-31,1.28013170938963,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2014-01-31,1.28233973125781,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2014-02-28,1.26826618101095,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2014-03-31,1.29062536797381,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2014-04-30,1.26916992135895,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2014-05-31,1.32524822684143,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2014-06-30,1.32116799882948,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2014-07-31,1.29203097792391,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2014-08-31,1.31752854309078,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2014-09-30,1.29713977275929,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2014-10-31,1.29574969212755,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2014-11-30,1.29179766828802,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2014-12-31,1.29850336352774,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2015-01-31,1.30880759130059,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2015-02-28,1.34346482376171,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2015-03-31,1.33486135851502,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2015-04-30,1.33717345534003,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2015-05-31,1.38408301771342,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2015-06-30,1.36255714808868,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2015-07-31,1.30066731233914,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2015-08-31,1.34415357908206,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2015-09-30,1.30867131448612,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2015-10-31,1.29586016567564,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2015-11-30,1.31134185700478,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2015-12-31,1.33191045416586,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2016-01-31,1.26854692698025,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2016-02-29,1.33537677747371,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2016-03-31,1.34932023645542,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2016-04-30,1.36272659105328,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2016-05-31,1.34600149660642,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2016-06-30,1.35061961835096,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2016-07-31,1.34623416787917,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2016-08-31,1.38078589337758,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2016-09-30,1.32199118146504,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2016-10-31,1.31883099040847,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2016-11-30,1.35332267073208,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2016-12-31,1.30597772545401,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2017-01-31,1.32381616078198,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2017-02-28,1.32385687436404,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2017-03-31,1.31673803559923,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2017-04-30,1.3063596951512,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2017-05-31,1.36530785621208,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2017-06-30,1.34838892054722,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2017-07-31,1.33362112908274,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2017-08-31,1.32736289972359,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2017-09-30,1.33620955239928,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2017-10-31,1.34001280619582,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2017-11-30,1.31706155469504,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2017-12-31,1.33097784526145,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2018-01-31,1.3016966570196,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2018-02-28,1.34126341889998,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2018-03-31,1.33843781389625,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2018-04-30,1.34019037641997,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2018-05-31,1.41732191735562,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2018-06-30,1.36486773508863,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2018-07-31,1.39910659818732,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2018-08-31,1.33244141596265,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2018-09-30,1.36246045871468,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2018-10-31,1.36921398540803,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2018-11-30,1.36801998613407,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2018-12-31,1.36476722743637,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2019-01-31,1.37272642970627,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2019-02-28,1.37758112991951,"Ashburton District","Territorial Local Authority","flow","Monthly",63
