"date","index","type","area","change_since06"
2007-03-31,1.09169206046551,"relative rental price index","Gisborne",0.092
2007-03-31,0.974226514821985,"relative rental price index","Hawke's Bay",-0.026
2007-03-31,0.996954690465184,"relative rental price index","Manawatu- Whanganui",-0.003
2007-03-31,0.982440592934874,"relative rental price index","Marlborough",-0.018
2007-03-31,1.01823764573978,"relative rental price index","Nelson",0.018
2007-03-31,1.03926440652414,"relative rental price index","Northland",0.039
2007-03-31,0.991620218161126,"relative rental price index","Otago",-0.008
2007-03-31,0.970839747715741,"relative rental price index","Southland",-0.029
2007-03-31,1.03549269156672,"relative rental price index","Taranaki",0.035
2007-03-31,0.980815029947218,"relative rental price index","Tasman",-0.019
2007-03-31,0.991199169998817,"relative rental price index","Waikato",-0.009
2007-03-31,1.02154425775535,"relative rental price index","Wellington",0.022
2007-03-31,1.01979370214993,"relative rental price index","West Coast",0.02
2007-04-30,0.99502812340677,"relative rental price index","Auckland",-0.005
2007-04-30,1.00612056774723,"relative rental price index","Bay of Plenty",0.006
2007-04-30,0.995137920375509,"relative rental price index","Canterbury",-0.005
2007-04-30,1.09299854826323,"relative rental price index","Gisborne",0.093
2007-04-30,0.995736791048104,"relative rental price index","Hawke's Bay",-0.004
2007-04-30,1.03037083005693,"relative rental price index","Manawatu- Whanganui",0.03
2007-04-30,1.00330624557793,"relative rental price index","Marlborough",0.003
2007-04-30,1.016634464865,"relative rental price index","Nelson",0.017
2007-04-30,1.00327753151818,"relative rental price index","Northland",0.003
2007-04-30,0.972672266356449,"relative rental price index","Otago",-0.027
2007-04-30,0.987443176915204,"relative rental price index","Southland",-0.013
2007-04-30,1.03648535618161,"relative rental price index","Taranaki",0.036
2007-04-30,1.02139337576671,"relative rental price index","Tasman",0.021
2007-04-30,0.996380038686421,"relative rental price index","Waikato",-0.004
2007-04-30,1.01655331743507,"relative rental price index","Wellington",0.017
2007-04-30,0.99209478919017,"relative rental price index","West Coast",-0.008
2007-05-31,1.00659653340208,"relative rental price index","Auckland",0.007
2007-05-31,1.00922140493883,"relative rental price index","Bay of Plenty",0.009
2007-05-31,0.987451842700539,"relative rental price index","Canterbury",-0.013
2007-05-31,1.08695950841351,"relative rental price index","Gisborne",0.087
2007-05-31,0.98385919529692,"relative rental price index","Hawke's Bay",-0.016
2007-05-31,0.998643939661727,"relative rental price index","Manawatu- Whanganui",-0.001
2007-05-31,1.01063019167413,"relative rental price index","Marlborough",0.011
2007-05-31,1.00911648811627,"relative rental price index","Nelson",0.009
2007-05-31,1.02856817179244,"relative rental price index","Northland",0.029
2007-05-31,0.977569676822331,"relative rental price index","Otago",-0.022
2007-05-31,0.979682649337347,"relative rental price index","Southland",-0.02
2007-05-31,1.02013812568911,"relative rental price index","Taranaki",0.02
2007-05-31,1.00264337177678,"relative rental price index","Tasman",0.003
2007-05-31,0.989755422648743,"relative rental price index","Waikato",-0.01
2007-05-31,1.02155586935764,"relative rental price index","Wellington",0.022
2007-05-31,0.97390522904115,"relative rental price index","West Coast",-0.026
2007-06-30,1.00084514219136,"relative rental price index","Auckland",0.001
2007-06-30,1.00240252051935,"relative rental price index","Bay of Plenty",0.002
2007-06-30,0.987367004561138,"relative rental price index","Canterbury",-0.013
2007-06-30,1.07134765965858,"relative rental price index","Gisborne",0.071
2007-06-30,0.981932830171789,"relative rental price index","Hawke's Bay",-0.018
2007-06-30,1.02285944657309,"relative rental price index","Manawatu- Whanganui",0.023
2007-06-30,1.0369989763533,"relative rental price index","Marlborough",0.037
2007-06-30,1.02446885289462,"relative rental price index","Nelson",0.024
2007-06-30,1.04844083471088,"relative rental price index","Northland",0.048
2007-06-30,1.00433739573659,"relative rental price index","Otago",0.004
2007-06-30,1.01058561785247,"relative rental price index","Southland",0.011
2007-06-30,1.02316829620773,"relative rental price index","Taranaki",0.023
2007-06-30,0.995896880744986,"relative rental price index","Tasman",-0.004
2007-06-30,0.996517632292444,"relative rental price index","Waikato",-0.003
2007-06-30,1.0155819371848,"relative rental price index","Wellington",0.016
2007-06-30,0.96087006127161,"relative rental price index","West Coast",-0.039
2007-07-31,0.994083550812701,"relative rental price index","Auckland",-0.006
2007-07-31,1.00622411979908,"relative rental price index","Bay of Plenty",0.006
2007-07-31,1.0106668346737,"relative rental price index","Canterbury",0.011
2007-07-31,1.0630882029693,"relative rental price index","Gisborne",0.063
2007-07-31,0.98730084484846,"relative rental price index","Hawke's Bay",-0.013
2007-07-31,0.995568466105474,"relative rental price index","Manawatu- Whanganui",-0.004
2007-07-31,0.996365737833707,"relative rental price index","Marlborough",-0.004
2007-07-31,0.990321089433805,"relative rental price index","Nelson",-0.01
2007-07-31,1.03114883866153,"relative rental price index","Northland",0.031
