"Labour Force Status by Sex by Regional Council (Qrtly-Mar/Jun/Sep/Dec)","",""
"","","Total Both Sexes"
" "," ","Unemployment Rate"
" ","2009Q2",5.8
" ","2009Q3",7.6
" ","2009Q4",7.1
" ","2010Q1",7.9
" ","2010Q2",7.9
" ","2010Q3",8.5
" ","2010Q4",7.0
" ","2011Q1",7.2
" ","2011Q2",6.7
" ","2011Q3",7.4
" ","2011Q4",8.0
" ","2012Q1",8.3
" ","2012Q2",5.9
" ","2012Q3",6.9
" ","2012Q4",8.4
" ","2013Q1",7.8
" ","2013Q2",5.9
" ","2013Q3",6.9
" ","2013Q4",9.0
" ","2014Q1",6.8
" ","2014Q2",5.6
" ","2014Q3",6.5
" ","2014Q4",5.6
" ","2015Q1",7.7
" ","2015Q2",6.3
" ","2015Q3",5.8
" ","2015Q4",6.0
" ","2016Q1",4.8
" ","2016Q2",5.1
" ","2016Q3",5.2
" ","2016Q4",4.9
" ","2017Q1",7.8
" ","2017Q2",6.2
" ","2017Q3",4.8
" ","2017Q4",5.2
" ","2018Q1",6.1
" ","2018Q2",5.0
" ","2018Q3",3.6
" ","2018Q4",5.1
" ","2019Q1",4.7
" ","2019Q2",3.5
" ","2019Q3",3.9
" ","2019Q4",4.7
" ","2020Q1",5.2
" ","2020Q2",4.1
" ","2020Q3",5.6
" ","2020Q4",5.6
" ","2021Q1",5.5
" ","2021Q2",4.4
" ","2021Q3",3.8
" ","2021Q4",4.3
" ","2022Q1",4.2
" ","2022Q2",3.3
" ","2022Q3",3.9
"Gisborne / Hawke's Bay","1986Q1",4.7
" ","1986Q2",5.3
" ","1986Q3",5.5
" ","1986Q4",5.5
" ","1987Q1",6.4
" ","1987Q2",6.3
" ","1987Q3",7.8
" ","1987Q4",7.0
" ","1988Q1",7.6
" ","1988Q2",7.5
" ","1988Q3",10.2
" ","1988Q4",7.5
" ","1989Q1",8.9
" ","1989Q2",8.1
" ","1989Q3",10.8
" ","1989Q4",10.2
" ","1990Q1",7.5
" ","1990Q2",10.7
" ","1990Q3",9.2
" ","1990Q4",11.6
" ","1991Q1",12.0
" ","1991Q2",12.5
" ","1991Q3",11.3
" ","1991Q4",9.7
" ","1992Q1",11.3
" ","1992Q2",10.0
" ","1992Q3",11.3
" ","1992Q4",13.6
" ","1993Q1",9.9
" ","1993Q2",11.8
" ","1993Q3",10.2
" ","1993Q4",12.8
" ","1994Q1",12.7
" ","1994Q2",8.8
" ","1994Q3",8.9
" ","1994Q4",9.4
" ","1995Q1",9.2
" ","1995Q2",7.1
" ","1995Q3",7.7
" ","1995Q4",6.3
" ","1996Q1",6.9
" ","1996Q2",7.4
" ","1996Q3",9.1
" ","1996Q4",7.9
" ","1997Q1",8.9
" ","1997Q2",8.2
" ","1997Q3",10.3
" ","1997Q4",8.3
" ","1998Q1",9.3
" ","1998Q2",9.1
" ","1998Q3",10.7
" ","1998Q4",8.1
" ","1999Q1",6.9
" ","1999Q2",7.4
" ","1999Q3",7.6
" ","1999Q4",9.3
" ","2000Q1",7.3
" ","2000Q2",6.2
" ","2000Q3",7.7
" ","2000Q4",8.0
" ","2001Q1",7.0
" ","2001Q2",6.6
" ","2001Q3",6.0
" ","2001Q4",7.2
" ","2002Q1",4.9
" ","2002Q2",5.0
" ","2002Q3",5.2
" ","2002Q4",6.1
" ","2003Q1",6.3
" ","2003Q2",4.3
" ","2003Q3",5.3
" ","2003Q4",5.7
" ","2004Q1",6.1
" ","2004Q2",4.4
" ","2004Q3",5.5
" ","2004Q4",4.9
" ","2005Q1",4.7
" ","2005Q2",4.8
" ","2005Q3",7.0
" ","2005Q4",4.9
" ","2006Q1",3.9
" ","2006Q2",3.8
" ","2006Q3",4.8
" ","2006Q4",4.9
" ","2007Q1",4.8
" ","2007Q2",5.1
" ","2007Q3",4.3
" ","2007Q4",4.8
" ","2008Q1",5.9
" ","2008Q2",4.4
" ","2008Q3",6.7
" ","2008Q4",6.4
" ","2009Q1",6.9
" ","2009Q2",7.3
" ","2009Q3",10.0
" ","2009Q4",8.4
" ","2010Q1",6.7
" ","2010Q2",8.6
" ","2010Q3",7.2
" ","2010Q4",7.2
" ","2011Q1",8.0
" ","2011Q2",6.9
" ","2011Q3",7.3
" ","2011Q4",6.9
" ","2012Q1",8.1
" ","2012Q2",6.1
" ","2012Q3",9.0
" ","2012Q4",8.7
" ","2013Q1",8.3
" ","2013Q2",7.5
" ","2013Q3",8.3
" ","2013Q4",7.3
" ","2014Q1",8.1
" ","2014Q2",6.6
" ","2014Q3",6.9
" ","2014Q4",7.9
" ","2015Q1",7.3
" ","2015Q2",7.7
" ","2015Q3",7.1
" ","2015Q4",6.7
" ","2016Q1",8.3
" ","2016Q2",5.0
" ","2016Q3",6.6
" ","2016Q4",8.1
" ","2017Q1",7.8
" ","2017Q2",5.9
" ","2017Q3",9.0
" ","2017Q4",5.7
" ","2018Q1",5.3
" ","2018Q2",4.5
" ","2018Q3",4.3
" ","2018Q4",5.1
